Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-7.615849885437219,-2.191060689615586,3.29461978407325,3.628278611163781,1.900699127132821,1.0650379929845197,-3.6081338097163744,-0.3695000972975917,-2.175269885742455,-1.7263412180175657,-1.9680649014054727,0.18456739960412416,1.1290151161675552,0.0,1.2864902168271022,0.48641999488625665,0.4967832173425417,0.794258189837254,0.011208401731594986,-0.9701403969934361,-1.2243778600018296,-1.0113853175027812,-1.629819403067702,-0.4677926056641264,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-5.6793284896652025,0.045716431326123796,4.9670200877473825,2.0578199256518026,3.299146004282292,2.2142295346323646,-2.902978598729711,1.5358303245796296,-1.470955114861824,-0.01962384785252347,1.264744179259421,0.9068035752083601,1.2864902168271022,0.0,-0.7805990418334431,-0.7759713668693902,-0.49515929982398743,-1.2639090322157926,-2.2231560482060475,-2.4726203993422615,-2.279366558624935,-2.87563785237916,-1.7249716226840754,0.5363113183478062,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-5.9824838330049595,-0.7762841725072569,4.636205636166915,-8.474896089880811,0.8724397005297266,-0.04306085100578727,-4.365430203454788,0.3609451620537154,-2.1048788959602507,-1.552274068802077,-0.01887913342425307,0.9503537052731983,-0.7805990418334431,0.0,0.00812736440841072,0.2979951683664266,-0.4763320671369633,-1.445151202553132,-1.6965068746560117,-1.4919461895437127,-2.0993360713454092,-0.9464835839012679,1.3366973862777516,-1.2529827214785119,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-5.645122594952124,6.863216308313245,3.3274768038169196,-10.221817738570348,1.0780945597090188,-0.9652538259746901,-5.778208478081501,1.034538663956706,-2.184881272137495,-1.1947952284656735,-0.5749537567852663,2.0911142378106935,0.00812736440841072,0.0,0.2885135942370217,-0.4823882159949163,-1.4468947765971205,-1.6971376817655415,-1.4935834027228672,-2.0982167529972293,-0.9504010532033413,1.3226234418481413,-1.2555360016064463,-0.6492514388393209,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-5.050278323508209,5.326844937998704,2.197618095866119,-11.435062805841632,1.2877502984729574,-0.06976584488998583,-4.851460962232973,2.0427285144081555,-1.5714691997156347,-0.7569316899283214,0.5041831435656299,1.9524369984207153,0.2885135942370217,0.0,-0.7631710004156165,-1.7170686928128658,-1.964772920152686,-1.7668106164311785,-2.3629455574383416,-1.2244314306340824,1.0238298619631871,-1.5262154582279546,-0.9204697224114442,-0.5904088826951295,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-5.660816914363753,4.641023304608794,1.5603680280579386,-10.09420336034819,0.09484205465623319,-1.8818272330318635,-6.076112028238407,1.4684194743424719,-1.7539350524210553,-2.001098033071634,0.2000823564668308,0.011208401731594986,-0.7631710004156165,0.0,-0.9595617084496371,-1.2081629933884077,-1.000027582909383,-1.6046609197639083,-0.4683051554770533,1.7926660201755094,-0.7718667723159142,-0.17897339098410558,0.12230566226056006,-2.4222349179863594,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-7.597082226868295,6.723101088203613,1.5008550322037344,-9.661474512161798,-1.3660520392611168,-2.1863024342356407,-7.789144787138677,0.8180854447302419,-2.3413626972040746,-1.0587768954534864,-1.366622213153157,-2.2231560482060475,-0.9595617084496371,0.0,-0.25056769648765176,-0.028811009450418146,-0.6462550311297068,0.49113457976695063,2.7757743395380716,0.18430476575423255,0.762834142514238,1.028534464801222,-1.5263289806339406,-0.5465535900463756,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-8.838989649111614,5.80423517276688,1.1153675814322632,-6.921968363301139,-1.5731433436467146,-2.351495847402836,-7.990142704241872,0.3819221274363134,-3.3196998350143754,-1.7684765209783815,-0.7790175951825122,-1.6965068746560117,-0.25056769648765176,0.0,0.22515218560199513,-0.39517915060057535,0.7416292442424047,3.030747121760794,0.4341746180327521,1.0085151440221023,1.2647138596595058,-1.2909359216962049,-0.3104843034285105,-1.1670730957921052,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-8.414282691246562,6.874916197665243,2.03070828115991,-6.168443816984748,-2.048551475670756,-1.690839880873261,-7.088437748977315,0.6315280513603838,-2.768222398320768,-2.1200752618234717,0.5897903083535669,-1.4935834027228672,0.22515218560199513,0.0,-0.6102160150266548,0.5131977979611444,2.7703974335997654,0.21005060330088132,0.7810349711072808,1.0424209543719245,-1.4812837437195245,-0.5134155678746293,-1.350321180221366,-0.09266045311691862,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-8.66003372125957,6.0186207669679135,2.0514696758221334,-7.361471332220546,-2.6343688753149586,-3.5061630579760035,-6.934876904330121,-2.1055351640225712,-3.2353499981994056,-1.9443878007194573,-0.48210453645358564,-2.3629455574383416,-0.6102160150266548,0.0,1.1312822091622672,3.4181266485217594,0.8240963293457051,1.3895389592441572,1.6298033100035232,-0.9167039291752985,0.06082737483041001,-0.8087644162152738,0.4735980980323422,-0.6215848687628363,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
