Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-15.415922162196996,-16.93731329538136,-19.76008611414908,-14.028666940587993,-20.500233116859615,-16.52343023358211,-15.947463476450757,-20.126911350233602,-16.21298112845203,-11.883560711021968,-12.09600080561407,-6.533524901007558,0.4117445168924849,0.0,0.1696059550359892,-0.3338953782265514,-0.8350927280527782,-1.103468137344445,-0.3771861833520347,-0.7495435000564874,0.9962657129544983,-1.6220533219506854,-2.1847266468949775,-0.3979134243752789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-14.82812991584687,-16.187849216155726,-19.587832513990676,-14.833275105755837,-21.571347968608794,-16.554152169028562,-16.94317359743169,-19.475924923372233,-15.567822445463701,-11.77494657066719,-9.70491631986663,-5.164711157963303,0.1696059550359892,0.0,-0.497697214884375,-0.9941213013082437,-1.2609043973680003,-0.5429722541250609,-0.9111425749679681,0.8153795748035084,-1.7761789946401425,-2.3315115303220226,-0.562472177956233,0.018319676132997453,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-16.020093502074495,-17.323883207240655,-20.552187277227095,-17.093663031679476,-22.338627480074223,-15.747080562738557,-17.006110145617154,-19.73243420068122,-14.208474615468674,-11.495187017356994,-8.702917235281726,-4.2581159725747595,-0.497697214884375,0.0,-0.49752190911109934,-0.7620165207622688,-0.038216412342071626,-0.40911499385999406,1.3291724720734823,-1.2735667491436982,-1.8360480291614591,-0.060835964697640854,0.5240577945164019,-0.7969704723297386,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-16.10517789318403,-17.884040840984603,-21.604773870777663,-17.47166937039081,-22.929676096449537,-17.179504601733118,-17.897538039009675,-20.19139951032708,-13.86364366584207,-12.241767900019816,-7.664632909094472,-2.9556416072255196,-0.49752190911109934,0.0,-0.26063500896240166,0.46468354678948187,0.09328438748084422,1.832900922500593,-0.7654193233223527,-1.3316585508997605,0.4390924176075337,1.02457593370683,-0.2975563581760451,1.6992966367191513,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-15.520561933277925,-18.39640021691209,-22.355979791220776,-18.09771577846517,-23.960602294905364,-17.760574724877443,-18.1647260751946,-20.25544398158632,-14.287764682299386,-12.906179671243578,-7.045534972653895,-0.6839915285894747,-0.26063500896240166,0.0,0.7219431899545885,0.35241552417566785,2.0827411474565234,-0.49839206764204247,-1.063325844332822,0.6949629769398351,1.2773931774547087,-0.03772643465421999,1.9428058619967477,4.074178851736391,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-14.427359826894522,-17.805854533586373,-20.285071199904632,-17.269440761017727,-23.050284908544228,-15.436593462541087,-17.56422905494178,-19.530285053374836,-12.497238341806403,-12.71527455236847,-7.037578920846621,-0.3771861833520347,0.7219431899545885,0.0,-0.3656881943325685,1.348103601632441,-1.2174780917341184,-1.7722822896897994,-0.02252212676536658,0.5541400826233119,-0.7482795055477441,1.228898459601812,3.3689505405253746,-0.5412787554637726,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-16.32075398154277,-17.154053690253114,-22.05727351322178,-17.983259368788165,-22.606023606472498,-15.911942461549657,-17.982445286216052,-19.483211458099255,-12.766252646400183,-10.684844452244405,-6.1102379267347375,-0.9111425749679681,-0.3656881943325685,0.0,1.7212705200671958,-0.850824536774558,-1.4104811824742098,0.3426637154002735,0.9219465419741222,-0.38622527197375855,1.591579628879808,3.726045084231754,-0.19476368186113113,-0.3914437374564885,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-14.924880529967838,-14.90336866311177,-20.301722629085464,-16.95570374270712,-20.2101593726898,-13.466061555395843,-15.839085693519417,-18.31615303242561,-10.429870699351792,-7.57600285231976,-3.0241852142591035,1.3291724720734823,1.7212705200671958,0.0,-2.5470995502118834,-3.085440713134288,-1.3444578304174564,-0.7761365231771441,-2.060320708209934,-0.08148579750285334,2.0830383675899915,-1.7966606129628717,-1.981869000289568,0.028285558813326617,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-17.56996304913108,-17.733554349903958,-22.241151286629076,-18.994869726284676,-22.51637294025684,-15.977031010417363,-18.96940212072759,-20.095149857700285,-13.222474141942557,-8.566287693973033,-3.776064436993212,-0.7654193233223527,-2.5470995502118834,0.0,-0.5631639836147061,1.1739215393372646,1.7513365235033873,0.4477623287370627,2.4001444498980202,4.492836881715858,0.601054777586981,0.4011705978355602,2.348623011669333,2.955848786611946,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-19.413475423843533,-18.6550395458918,-22.130816273681123,-19.90813098724938,-24.453316508540485,-15.984134904220978,-19.554338140413606,-20.639829247152065,-13.983475750341626,-8.119893152089647,-1.7628421111613404,-1.063325844332822,-0.5631639836147061,0.0,1.7526163751796218,2.3375354507625863,1.0172769101596713,2.9821400078181357,5.078411105057452,1.1471421903304462,0.9420621117813042,2.893778865270731,3.5163094887131052,2.3567690026958976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
