Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,47.66392666351521,17.752595945359634,8.629189462218205,5.374763240066782,9.402389725391135,4.578773938124142,-9.918439071781476,-10.53573620657178,1.5259533812159578,1.6084731145315248,2.76654026870769,-3.584207410792426,2.316900066426183,0.0,4.269504298214586,4.542759373415308,4.100822639185146,3.394393579016411,3.7780362359745663,2.1655741117653595,0.04893450056692039,1.333432315894294,-1.2543823604990065,-3.7122143347883956,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,54.43357123504931,20.162076303809624,13.005847307225253,7.737573349427345,15.589817270396718,9.536373530488778,-5.75252220642967,-9.253872724732275,4.399011541254154,5.699171977336838,4.147238694749117,2.657106826989621,4.269504298214586,0.0,0.26628036319997445,-0.17153432318383027,-0.8758000696485133,-0.520078302988243,-2.050374530319111,-4.064654811556591,-2.8924581718130256,-5.324096664774309,-7.615162174446453,-7.228411584257904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,55.50065382501916,20.601778683146772,15.742671490531725,11.641656542288127,16.56823639665476,8.33719307853703,-6.316966406183975,-6.888229972804017,3.4808333292353133,8.054159347566241,3.2037967785369217,5.880234898508646,0.26628036319997445,0.0,-0.4385235112838788,-1.144208249822577,-0.7894439343566464,-2.317989369698198,-4.3303266452342175,-3.1625515101951267,-5.589809546804515,-7.875523547915667,-7.489308441243673,-8.03366255997453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,55.728805332162935,20.468961102531715,17.460266475718868,13.170158268946082,17.500462993723247,11.33141444425208,-7.736992173310641,-9.217895494512634,3.579233316218759,6.308590373040317,2.5599801495748036,6.350417919538302,-0.4385235112838788,0.0,-0.7021472893096374,-0.34642177175123634,-1.8752152887394202,-3.887285739359437,-2.714264469892462,-5.144540363350934,-7.435107271193942,-7.048676807404563,-7.593316494320794,-9.993261130412982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,50.428864679285184,19.50050873985725,16.854735958919147,14.99605831245486,15.794447037139129,11.6684539427158,-8.354058893448062,-11.279959889666507,2.087678904571238,5.686951123526492,1.9637559975580396,5.825165414726068,-0.7021472893096374,0.0,0.3568792131014631,-1.170711624405185,-3.180257778448672,-2.000137339324371,-4.432664036786118,-6.72853928454915,-6.342170611646681,-6.886694714854275,-9.298951686130383,-9.428106808546703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,49.30160157560269,19.822347658330358,14.761490541041342,16.393312779068133,15.223115021051822,5.078852845213765,-6.524404118588514,-9.129366345361783,5.612869723818371,6.856863137215504,0.016936532391915726,3.7780362359745663,0.3568792131014631,0.0,-1.518669038173889,-3.5169536710628715,-2.347774070340329,-4.763992988686642,-7.042870992196284,-6.658881115917481,-7.200067061742907,-9.591068962608716,-9.705339810504778,-7.975617465236887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,45.233740356674076,18.666869874751853,14.746463855121942,18.58575748429158,9.633201765175375,-0.6800410184897316,-9.125542622564504,-10.81329240299346,3.511979433157303,1.9824020129090973,0.5472076420796657,-2.050374530319111,-1.518669038173889,0.0,-2.029324547204457,-0.8231581516501487,-3.2885497025754518,-5.620797803421495,-5.229914160428645,-5.780753457907059,-8.242552632018178,-8.420200805459075,-6.637683250894702,-8.905242959946666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,42.344309665589144,14.181474987489619,11.258834724833715,15.736511750239085,8.708899032405814,-5.651772877460885,-11.643326919233115,-11.21467531258182,3.3038445833622774,-1.3536880238894975,1.3034323563488344,-4.3303266452342175,-2.029324547204457,0.0,1.2549059073911115,-1.274106607112772,-3.6758755106112093,-3.2761342817012227,-3.8393721132604948,-6.394255780244356,-6.657998552540062,-4.805992913368389,-7.1289273283906125,-8.856222506782403,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,42.74409109674909,13.518644377766918,13.788528511307348,17.405813506488855,10.648976902437461,-3.9142699864148636,-9.479403675025589,-9.723988373005461,3.434365955289559,-0.2527740476477689,3.5632585794270066,-2.714264469892462,1.2549059073911115,0.0,-2.460551051133773,-4.791873489541249,-4.4022384165094035,-4.951285449398828,-7.419817706084753,-7.629015301309765,-5.840805282987785,-8.102683680289141,-9.745930138190134,-7.008660559717656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,40.333036277311216,8.080743415989517,8.463826243255777,10.844934916310963,8.294371649106491,-5.8516803376079665,-12.754826641542069,-4.087802169976252,0.8036130261822478,-2.6868434531181213,1.1022237389667162,-4.432664036786118,-2.460551051133773,0.0,-2.434428393524505,-2.030959561785026,-2.599398073574002,-5.201067852213553,-5.51779259085062,-3.6306054310254705,-5.977658117221765,-7.76367108209533,-4.90353084211255,-3.6144780766115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,34.21196176894535,4.833288764161903,7.704507750039767,7.553268458687505,4.863134803380847,-7.768629510483607,-13.60601778417375,-5.448177461941155,-1.1452755231137202,-7.261552474507776,-3.7122143347883956,-7.042870992196284,-2.434428393524505,0.0,0.4194416556433047,-0.17139838649875633,-2.921616848491629,-3.3511078161886987,-1.353676164212847,-3.7985195881423426,-5.7397703667281625,-2.7406824269110155,-1.3719522170354255,-1.5241709467342126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,34.16003031888479,3.4611987907993687,11.309511998622348,8.276443305177013,4.046427332297778,-6.370165978181768,-14.131081620928477,-3.559203789944202,-3.635740706827156,-4.877924992316751,-7.228411584257904,-5.229914160428645,0.4194416556433047,0.0,-0.5878152319411453,-3.316364816320801,-3.727119106899191,-1.7458290573056061,-4.177282723989823,-6.094602154463253,-3.1151941074975706,-1.7582332748268685,-1.91076846240444,1.3190915272244195,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,33.20220932661347,0.6664193096324453,9.184523905657374,11.026769485518136,5.487297299217371,-9.015578731956388,-14.830189810253795,0.1365752186633049,-5.311430080956992,-2.721069739836949,-8.03366255997453,-3.8393721132604948,-0.5878152319411453,0.0,-2.7590223353995755,-3.1962071356819513,-1.192215154844833,-3.642467623254249,-5.593487222612925,-2.5864244289580505,-1.2129072089581525,-1.3649893391738521,1.8935709733204948,4.549479383465295,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,28.225389156242276,1.3351114630972916,8.145550276398657,4.500758865551068,0.17594506203963256,-12.357904783240022,-16.62961929293516,-3.843041233794676,-8.049624097960342,-4.540634842091961,-9.993261130412982,-7.419817706084753,-2.7590223353995755,0.0,-0.5784763309692869,1.576840433379044,-1.0132711106018717,-3.1700873568441574,0.03172670689323098,1.5139852662881186,1.361388747023022,4.824599265776731,7.650964239048738,9.666121329391503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
