Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,35.556303692729514,22.235159639714706,24.858399028690172,15.626025430960402,14.546883422643443,14.62431355956239,7.685604324038801,4.397931929692621,2.4771738513024912,-0.15407185536071122,0.7808297889791866,2.0423391978655543,-2.245879023926673,0.0,-0.2872816615843272,-0.6317029985762026,-0.37430509209315077,-1.6814847337483916,-1.6946787009780797,-0.5094483532819454,-4.620437975233487,-2.0470263659897894,-2.698364085590537,-4.646287294504212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,31.501862169886806,21.20899420656517,25.4089335535158,10.275162195825038,14.180753609801336,13.501482529895195,7.68262624260492,5.227845478828982,1.539546755617791,-0.3848926305531295,1.0781110118161301,0.6583384931551599,-0.2872816615843272,0.0,-0.3426440383181749,-0.08566955795480244,-1.3820441894435707,-1.3945250705028662,-0.21716028972616397,-4.3012555184095405,-1.7411464511625558,-2.3902202692377976,-4.328649790488833,-6.232547076085952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,32.80366983814453,20.518784414221617,24.139854204845676,11.577990811840847,13.580243196528386,12.422434579212265,6.5629239324259085,3.6881343309853953,0.4308525632083393,-0.6032158701119856,1.8956163517615838,-0.8224818645397013,-0.3426440383181749,0.0,0.25978711732973947,-1.0403678381177364,-1.0521538170154983,0.1309826291394227,-3.9736019219663374,-1.3963792718511343,-2.051123220797428,-4.003205247814556,-5.916582360126325,-4.510857220601998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,31.1774262523395,20.913053477858973,22.426781373217146,10.10610452426544,13.96979550242854,12.348546946107898,6.410628668476868,2.4679917770038013,-0.4386160861263466,-0.15557169699962703,2.2059875012570407,-1.6393019022919293,0.25978711732973947,0.0,-1.2932198950922538,-1.30548962199203,-0.13041190161044636,-4.206689443988764,-1.6504253371201025,-2.298853425567687,-4.2345433977575535,-6.134778546456719,-4.738633660697499,-4.611090562932526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,29.600861850957923,20.34898084833809,20.0771928408947,8.137672784571588,13.272125009829583,9.807615678746107,5.298340218321169,2.3785266758927346,-1.739765522224221,-1.7226683856666738,1.2302686315807225,-3.929417278221403,-1.2932198950922538,0.0,-0.009504035826696733,1.1705896515481393,-2.9248334807388274,-0.34064887804280586,-1.0011190048956378,-2.960539338138575,-4.869432139272307,-3.4673006319960757,-3.366588438680453,-3.366866116580022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,30.284616224973636,20.0858546594213,19.24121495062029,7.547316427172772,13.735146244406522,7.306742390031639,2.5027417165475505,2.416982216515292,-1.9076012170923682,-0.9746115783522908,0.34147179593907717,-1.6946787009780797,-0.009504035826696733,0.0,1.1776396695966895,-2.9092797044430148,-0.33034500154418533,-0.9895092528849363,-2.944967660445739,-4.8498948785617335,-3.4506789223913166,-3.3503756414327883,-3.3510308621795986,-4.882949712677124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,32.000054668269215,22.18882705337373,21.543924818943083,9.378207368828853,15.96101849622174,8.990524393703891,-0.06857105879172742,3.969840101521598,-0.6156694644999234,0.8634666502284754,0.4439188042758331,-0.21716028972616397,1.1776396695966895,0.0,-4.042289028794395,-1.5057581897393157,-2.149673467051467,-4.07067787622178,-5.955042054545868,-4.570595116598957,-4.446840847883742,-4.401033620608065,-5.934921702272313,-5.709431510260584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,25.377250794529623,15.848898778456526,18.432242134990787,3.530528438787652,10.121933254108836,3.880748296969479,-2.2142497602675215,-0.4264592206338538,-4.7359626146412355,-2.249832724922011,-4.8475229898992644,-3.9736019219663374,-4.042289028794395,0.0,2.691575645049026,1.9922793867860356,-0.05450632439083192,-2.01497185791582,-0.5758231441853,-0.5356799765143951,-0.655806692634104,-2.1848042024152807,-1.969950143811663,-2.820191934311948,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,29.71631385233297,19.59227381168803,24.328206144748187,5.655227703143918,12.619595589945465,7.374213217963446,1.9452030010397277,1.826240585963399,-1.8854455531438203,0.5159753175701329,-3.3246579586216765,-1.6504253371201025,2.691575645049026,0.0,-0.6557613291202847,-2.5981292729620895,-4.486692869109939,-3.099589466919031,-3.0069630032366077,-3.020517381725907,-4.534136112592333,-4.3151403457225435,-5.042869859528576,-5.617383730461768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,33.25351097130556,19.905127293611105,24.308619823800754,5.457120115312025,14.696692311190631,6.151426738237893,2.5520995740253625,-0.16931434747558072,-2.7732167704844235,0.19298170715873564,-4.9365060467052375,-1.0011190048956378,-0.6557613291202847,0.0,-1.9757721629434746,-3.8894505933677346,-2.484091108015118,-2.4041563185593415,-2.444255444861911,-3.9675003983435175,-3.7486945870696946,-4.509669501524291,-5.082942865918996,-5.216322817320049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
