Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-2.9935229520762476,5.818641425927275,2.9047572186247894,-4.991116224126781,-3.9402840834818367,-0.8827977634668205,-2.7450189397602367,2.523150415815701,1.824950488357067,2.4284911188571474,2.987173724901057,3.4593076323993195,-1.1538800309537325,0.0,-0.3332353115283423,-4.584396492839218,-2.836548527412809,-1.7239710160021247,-1.9458363059333044,-1.80167919449199,-3.4621590467801306,-3.0568077460116134,-2.812080723972148,-3.11702467962957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-4.573784206634844,5.35637789842502,1.941803974683559,-4.6768728853106545,-4.966674552837597,-1.6405486597012189,0.1511578352727465,2.447264639244345,2.071232144321711,2.760733482731143,3.6023952782830637,2.330170659091453,-0.3332353115283423,0.0,-4.225994370060833,-2.4872636262925423,-1.3787334277498755,-1.5985293279478494,-1.455431674994624,-3.1056703023310455,-2.6987963303006866,-2.457834617508551,-2.7646104709562453,-2.8138556940476467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-8.218868644352595,0.45093712480894865,-3.5596341301300267,-8.321988553288524,-9.872392287889083,-6.131624693960042,-4.454459637291885,-3.010288830110377,-2.3008720023220457,-1.5227147111360537,-0.915826047601831,-5.215219936176828,-4.225994370060833,0.0,1.8379031751948625,3.0331142882295294,2.812962537001794,2.9601155081169552,1.236848893420671,1.7155024488645623,1.9369711662894575,1.5669899766198712,1.5176650251835273,3.0284174235578347,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-5.90097094606179,1.7525210123439194,-1.8128764003516356,-6.179722874629479,-7.51107309455754,-4.114113816173582,-1.7561686933823442,-1.0485783756158096,-0.35796311839495143,0.38535115674871534,0.34218437221756615,-3.6539539665555965,1.8379031751948625,0.0,1.15411272081931,0.9349221716840448,1.0798164694493237,-0.6061877887182194,-0.15968568744050682,0.06922034203119742,-0.27263955956232233,-0.32174915388128134,1.1565477488606946,1.2194476605524938,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-3.702255624788574,2.676917402115105,-0.7376685916594976,-5.8371540105649515,-5.4772879967269805,-2.7177705452727157,-1.1168293436126078,1.1096029310088529,1.250527131761932,1.2406233859172797,1.9964953389817133,-2.875384573643858,1.15411272081931,0.0,-0.21743654797181453,-0.07469345556071276,-1.72895775573462,-1.3044752159988262,-1.0722438610731697,-1.3951034305068815,-1.4438200412509925,0.006779270866700826,0.09238278211252426,0.7094546610569203,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-4.176869608298226,2.8011789624816643,-0.9222887770018797,-7.18375240162753,-5.249902928322378,-3.8452247805448074,0.5091145495967577,0.7695702680081045,0.42367694997353844,0.9758577623248721,1.5039615192786977,-1.9458363059333044,-0.21743654797181453,0.0,0.1426213332274493,-1.5115120085124436,-1.0844546509537976,-0.8537044688247315,-1.1789458588003279,-1.2275567716535933,0.22290238277972368,0.3039222366490626,0.9123253927310415,1.2081459305226843,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-4.430493075732681,2.9005213413411326,-0.5699286929895333,-7.369071230591938,-5.12795111416577,-4.0672568401094935,-0.19598561343184784,1.572260221890323,1.2349147633531103,2.081863383268275,0.8427869973154731,-1.455431674994624,0.1426213332274493,0.0,-1.6527875815388398,-1.2277881993813673,-0.996266492463955,-1.319664579920329,-1.3683027289552578,0.08099297496679286,0.1649483080698575,0.7785091632187537,1.0717535651439842,1.2871592759228907,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-5.267775148625482,2.195301980609784,-1.9323896499053692,-9.219086946565579,-6.131268334508222,-5.473582147662,-0.9694553295378832,-0.19253222995665276,-0.27290054232988936,0.33494041867066304,-4.097292263488608,1.236848893420671,-1.6527875815388398,0.0,0.45176483485371177,0.6755927839891055,0.3285641513168955,0.27995529499480337,1.7516223445779588,1.8015324997060507,2.35806603009261,2.683385193053706,2.894302838870386,2.833622794347563,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-5.269421539712798,2.7976973354335435,-1.3970923048166028,-9.029412601567678,-5.588239817096282,-5.893645902178285,0.20647128986658103,-0.6055699975583995,0.22602951146531414,0.18451118011626733,-3.8916245147988486,-0.15968568744050682,0.45176483485371177,0.0,0.2232176357357164,-0.11341354428269979,-0.16145354946316814,1.2868093752352372,1.345176268451945,1.910264955708489,2.2231998267103372,2.4328082755551685,2.38867911484661,2.414070477716457,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-1.937710102493586,3.392351319318763,-0.04758179628435144,-7.925840305302782,-3.7548701391509045,-5.6694361337113035,0.992349616532465,-2.9457483133131914,0.1060587801970474,0.882224673344683,-3.9556485314765197,-1.0722438610731697,0.2232176357357164,0.0,-0.33570899481858874,-0.3840745959847023,1.0708784816480716,1.1342121426601532,1.7107494242604515,2.0214684729937638,2.233083619897577,2.1966647118756493,2.219141635424485,1.8631946387950213,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,-1.5850559142577154,3.208637154798353,-1.2875879164804385,-8.631335657534741,-3.8841311553948117,-5.827909557577066,0.3536974924313956,-3.0235775566421355,-0.2933200187843994,0.2592132882684406,-3.11702467962957,-1.1789458588003279,-0.33570899481858874,0.0,-0.04889853730833837,1.4268753581751248,1.4839032380046833,2.055120560074629,2.3759078952031083,2.588956895826426,2.5398653257170967,2.5673188929024544,2.2106223396231415,2.317472027487823,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,1.7059232942682883,2.8114901024527335,-2.5858386088352905,-9.216249618894093,-1.7830366549755148,-6.477331359788143,0.8549203862865937,-2.7404018895410616,0.6030635840674181,-0.584020422328603,-2.8138556940476467,-1.3683027289552578,-0.04889853730833837,0.0,1.475742204915891,1.531733689884455,2.100990957114332,2.422578314195118,2.6353938885913912,2.5845592400293356,2.6126803595506294,2.2566149922435605,2.3635848556783854,3.163180529501635,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,4.794898463341166,4.3239874394377935,-1.985856497243697,-5.05647883206071,-0.6285593802902465,-5.132270058678559,2.972561505847578,-2.313354436307959,2.1718638640329972,-2.3345039525526285,3.0284174235578347,1.7516223445779588,1.475742204915891,0.0,0.08607536814409089,0.7057811885748384,0.9990703664361953,1.2158762516151302,1.2176561547469582,1.2255069241211158,0.8555993620311053,0.9575022315727031,1.7275688778020282,0.8864562809877463,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,6.464529694199779,4.50247423560257,-3.722417004102759,-5.208273393790804,-1.6982008740756172,-4.861934947218563,3.0987191672529475,-1.5503963980995619,1.59857794851058,-2.3976013036410087,1.2194476605524938,1.345176268451945,0.08607536814409089,0.0,0.6361779401192122,0.9340892415760476,1.1558270748730664,1.160845933277824,1.1676334916792337,0.78888332090047,0.8926819973843467,1.6776079614218027,0.8179890451726723,0.940833346866748,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,5.668285183587731,5.7337981780112734,-2.720655777522106,-4.491517796850703,-1.5099605676692,-4.366192135954778,4.230891760588262,-0.08169245169566786,2.613651641967895,-1.9876454155311354,0.7094546610569203,1.7107494242604515,0.6361779401192122,0.0,0.2971006376227483,0.5301432047492729,0.560383720970139,0.5578243776712564,0.15642484284842573,0.2622191285831247,1.0664128123916363,0.16786638171491353,0.2948619752621813,1.2099772256203005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-06,6.295138524338359,6.071851778098349,-3.8947638448953175,-4.950966358807044,-0.31631824015626187,-4.36350294612507,4.452807859524555,0.13675989687162016,2.6941988305903846,-0.63522547664207,1.2081459305226843,2.3759078952031083,0.2971006376227483,0.0,0.22983712365168563,0.2703470698676975,0.2636743381918234,-0.13363346472343496,-0.030705173072576253,0.75354612477955,-0.130544693035046,-0.00619966371409908,0.8923341378039962,1.5003601829647732,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,6.297357894569743,6.232932868141445,-4.36779245168112,-4.000320802168183,0.7792595933531103,-4.028709205463317,5.1396281207857974,0.08807265557528554,2.1348468872578548,-0.0909864540153702,1.2871592759228907,2.6353938885913912,0.22983712365168563,0.0,0.049270397550538636,0.03926661303504764,-0.36225059538746984,-0.2596397260824024,0.5236701493760757,-0.36561608630296716,-0.24102167407738206,0.6613192318328958,1.2722764271749296,0.18035243210494056,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
