Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-12.369469975696664,-10.316011021275983,-14.291518246400472,-13.228982349705545,-12.959535338932932,-9.447869027754694,-12.000577461214641,-11.89044218550778,-4.999119427124057,-2.9662554341654648,-4.160148328810237,0.44610839839343885,0.3730466607996118,0.0,0.3422149926810516,0.6083545632236547,0.5165204673174495,0.7915098468912656,2.972335601097237,4.189756176277241,4.011466596797158,3.480172543054376,3.023459068673324,3.4159396768374437,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-11.239369808516175,-9.563951855729702,-13.600519602970174,-10.575883570923622,-12.381309888435098,-8.864589432490577,-13.567631060645638,-9.276163196356752,-5.530325967905436,-2.8314013310005866,-0.2774944492925977,-0.7047742931939505,0.3422149926810516,0.0,0.26331252737417904,0.1711631046771333,0.43993403888284255,2.592376283776992,3.7945583383323482,3.618322336019844,3.089708914144574,2.6411157006082,3.0323712530159885,5.077470938764332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-18,-10.25577397743268,-9.2357853030217,-14.08949356162947,-9.73836883328169,-11.268436907428152,-8.24521185132908,-12.749902040699034,-9.131578840746807,-4.124775545696214,-2.7467497975246378,-0.15461425646375648,-0.16020214397309118,0.26331252737417904,0.0,-0.09320934078796456,0.1731573842116616,2.3228342890492346,3.523944746379453,3.347726992656128,2.8164898303591315,2.3701704316263927,2.763952330147427,4.80684505547396,4.4185993312179646,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-10.576755688716483,-9.943049854092868,-14.990507107337775,-11.719895899832693,-11.85065775668416,-9.078002696961354,-14.068369530662643,-9.373002918293139,-4.411555294878469,-3.370730326328496,-0.2518514494809234,1.0162312778293856,-0.09320934078796456,0.0,0.26619939502614776,2.408682308827828,3.6056068855693937,3.4300520618761343,2.9017542665799083,2.4563315221876865,2.8477303667785585,4.883638587250638,4.4966684275130975,5.121617242510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-22,-10.088135885531544,-10.250099478369416,-14.934713338756524,-12.407560291071057,-10.254326176786993,-7.685788052673036,-13.255380045674775,-8.592145609168039,-3.1204547918037724,-2.9276931977128777,0.5590152347625659,1.1723177467801869,0.26619939502614776,0.0,2.1191681365041424,3.3035353577348303,3.129685049300568,2.6038694754486973,2.164972817673582,2.5551083212878742,4.569277401437701,4.1865850043320565,4.810464195050809,4.867071880746333,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-7.632837707401837,-7.050781258013657,-11.5184969526708,-11.124427759217106,-8.023732922960836,-5.227132425673377,-11.59147513914934,-5.920416550297752,-0.04738914360680191,-1.2911331439853617,3.4728369261043026,2.972335601097237,2.1191681365041424,0.0,1.1584846962154747,0.9873566342007932,0.44902519010144415,0.03425577874694319,0.43816704137067913,2.4053408980573296,2.032721148595218,2.686008584159068,2.823881358595727,0.23765645371666722,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-5.823331817095877,-5.326901649115088,-10.955546791388162,-10.459856637452177,-5.66996245198032,-4.051697191208117,-10.67547168195546,-4.972359104790643,0.9889689251040572,3.6533294400777097,3.1249555983445267,3.7945583383323482,1.1584846962154747,0.0,-0.1699524848414725,-0.7159900467184435,-1.1184266534488652,-0.7063610992598935,1.2388040960561222,0.8709866539709044,1.5413188101012005,1.7233963492220417,-0.8532830868790766,0.6799762942349528,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-5.775558039249471,-4.890437472062372,-10.98656453507515,-11.552770311607265,-5.404410164743219,-4.096780499732864,-8.654218131311524,-5.423971848766563,0.6153444589708581,3.2905059501821086,3.240465052564247,3.347726992656128,-0.1699524848414725,0.0,-0.5446225196980318,-0.9486599801787712,-0.5380055744081912,1.4093783259526937,1.0410473148870627,1.708529113413347,1.8840238035942107,-0.6927166218590441,0.8414186705151643,-0.2189308252357538,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-6.6838718646911595,-6.8228315059616484,-10.964323631560532,-11.984454105700483,-5.105339097838279,-6.505287689298649,-9.758536075352072,-6.56689618096369,-0.5037244948702924,2.728929895639439,4.014912390393139,2.9017542665799083,-0.5446225196980318,0.0,-0.40511315827923833,-0.0029265057859906296,1.9323430380481887,1.5660077944627455,2.2179742421782533,2.3710322200498233,-0.18063205927006187,1.3412156022699824,0.2686426412133791,1.5776147703022287,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-8.165301369952132,-6.849006410592834,-10.629770617848093,-11.798010154748823,-3.4789713917369944,-6.0739170375613565,-8.617481095689836,-7.692011624077714,-0.7301992160202797,2.8110361716657524,3.407489203619673,2.164972817673582,-0.40511315827923833,0.0,0.4021073651840662,2.3586706738204084,1.988079491678438,2.63856330936698,2.777045073957881,0.2041964621438499,1.740698648481521,0.6419875699605644,1.9707609194735412,0.7517910961355074,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,-8.25178835888537,-6.1138009049506294,-10.449231713124394,-10.998308370193351,-3.328515283672761,-5.477316086863855,-8.267082264035704,-5.9795924185316265,-0.8239025313179624,3.9203717294293856,3.4159396768374437,0.43816704137067913,0.4021073651840662,0.0,1.969915252824989,1.5970201226861804,2.2605945880997824,2.416273070549644,-0.18102109822275114,1.3680557113286178,0.2761758316537506,1.60862122907744,0.37598065195808417,0.4632943949699788,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
