Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,51.77497638555042,19.502528596976784,15.075550849062976,8.769397616769231,5.0303625710363455,4.740780802769088,-2.4421913868856278,-8.348780208862532,-2.1674226710737154,0.8158873836750216,2.036995252297893,-2.4696225045757503,-1.4003822137180435,0.0,0.36834544700542793,0.7121702578478126,1.7607481252591926,1.1474841843369736,1.0611233545348138,0.2827964208887823,-0.9531384221015262,-0.04120305170053484,-2.1449759677246028,-2.3346754938294936,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,52.019955200400595,19.800693050976715,15.564431850822867,7.550849808419242,5.470107074236253,4.656220825810983,-2.090364552826051,-8.389419061729253,-2.035417426024687,1.7094265365780537,2.7226754793260657,-2.329430013835784,0.36834544700542793,0.0,0.3399671390193556,1.3733959622930603,0.7651199798915442,0.6790765818662463,-0.08898098906663354,-1.3091580782985979,-0.4133748812318512,-2.4874387569639156,-2.670650936153196,-0.7582353118477926,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,51.82083594876734,20.038865414857167,16.0965848027337,8.492605876007934,6.149640695188687,3.764508414582229,-2.3611104794026145,-7.691604448617077,-0.841765488869926,2.6918459896540057,1.5501497566360962,-1.5890654367946193,0.3399671390193556,0.0,1.0301010271687367,0.4201582963585708,0.33352095350770194,-0.4329765667513289,-1.6511890043058042,-0.7610780480081154,-2.829104185116398,-3.0082182195263814,-1.0993742902181949,-6.886218336734932,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,54.35551898822882,21.516285490530358,17.995290036548887,9.529270891033974,6.892685976487467,6.125795660418902,-1.3791640220090695,-7.163847258887408,-0.5997035299819311,3.169467092541214,1.46662984570405,0.08260099482889571,1.0301010271687367,0.0,-0.6093038876551837,-0.6969124734158786,-1.451741638287544,-2.6529397628156444,-1.787856906640322,-3.8189646867534224,-3.984251694782592,-2.1035343207637065,-7.805960333842175,-8.154363624651651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,52.782906408128966,20.910749158389567,17.242457919235367,9.139920014108306,5.065097612421916,5.73944935922459,-2.280979823601749,-8.206879094621135,0.00198581017869337,2.628454442043835,0.5901670727969286,-0.3015344361510812,-0.6093038876551837,0.0,-0.08611377472938384,-0.839797340930766,-2.0382622984242342,-1.1676668449419274,-3.198925144694299,-3.3705622796578485,-1.4932532949430608,-7.1848395006807015,-7.545403471255534,-7.511426275244688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,52.39956756117819,20.13643606637857,17.818229752154814,9.941721394778751,4.622438209480734,4.302531633864485,-2.6661564596879312,-7.653408086756085,1.9404017175828532,3.206546456706265,-1.4793979876988543,1.0611233545348138,-0.08611377472938384,0.0,-0.7527432644925351,-1.949584631809894,-1.0791125731059044,-3.108292702304377,-3.280646795537903,-1.4057581059534974,-7.089935200875067,-7.451839225022408,-7.421335256814823,-8.414710876291224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,49.093651204915574,19.965835140080884,16.683870453341875,11.351572846922707,2.8400482816347683,3.3122781015240985,-4.597504513327115,-9.51712297449492,1.6363071868850385,2.661731220156579,-2.4470710420289503,-0.08898098906663354,-0.7527432644925351,0.0,-1.2061423139098513,-0.31958152376619764,-2.370478638305766,-2.5525555024430617,-0.6620110877879731,-6.393022697378552,-6.773883949462213,-6.773403146104372,-7.762522242099242,-9.513118275682631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,47.88469056187271,17.48529250046273,14.329228677785473,9.03947134946825,-0.6960262877089463,0.958671734589295,-5.8709806550085615,-9.762607587460463,0.9634666687648359,-0.15551205144255142,-3.2673465536764623,-1.6511890043058042,-1.2061423139098513,0.0,0.9112851951329124,-1.1716962582330397,-1.36924847231976,0.5438035187549529,-5.254426295426559,-5.66542199695076,-5.7135772347347595,-6.694308122276238,-8.470989226247049,-8.826715224488128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,49.380861306799744,19.361515080038515,15.599026460511695,10.529537764485234,2.373934076007103,1.773551721655684,-4.901966484901734,-8.007825406895531,1.3104179434031664,-0.37144298122815655,-1.7325038614853425,-1.787856906640322,0.9112851951329124,0.0,-2.034221528339003,-2.2180565858950363,-0.34469684702670267,-6.0233552697724715,-6.4073206659329,-6.41932019040772,-7.3942765923507965,-9.130304973052558,-9.447455677737528,-8.91159041226522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,46.89005954043268,15.898059019151258,13.034738592514529,6.629427778514122,0.428575770070065,-1.3507867524887587,-7.561763862845174,-5.417862751591324,-0.8085795279470256,-2.72809768501679,-3.546653494557381,-3.198925144694299,-2.034221528339003,0.0,-0.2117383059690472,1.7147637791183263,-4.123259003627721,-4.561762399429558,-4.657031999170675,-5.625267622693526,-7.419482512019854,-7.819213955363503,-7.240190582466715,-6.452926302441992,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
