Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,9.25018221976282,7.623587838554236,-1.5527187142329009,-5.279210979438399,-6.678412778544268,-7.559187778820266,-7.332114321103489,-7.394701638641374,-0.6248612046743904,-0.20316449612881415,1.3785347548279434,0.80875072267706,0.5804608383221221,0.0,0.5438326347655418,1.9247154077471798,2.205381231084334,2.2854233697028796,2.4650073481798724,2.7765113892998854,2.0458473814334956,1.477248020410313,1.7991511552651245,2.3974243088775697,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,8.889815819319146,8.323023192545985,-0.677260152362889,-4.83990297216789,-6.357244070419096,-6.536958663351717,-7.271359617329885,-7.779178810689978,0.4795351324005157,1.3310888812170418,2.932328309714923,1.376364554030359,0.5438326347655418,0.0,1.3615383744548253,1.6357502460912412,1.7102862090697817,1.8860639721684225,2.1933128366213133,1.4730158566141331,0.9063100569752103,1.2271998105076907,1.8226632486008847,2.063504037279515,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,11.121294925212258,9.865366148854353,0.6944181908137956,-2.949352668692308,-4.796267621797069,-5.3134358545332105,-6.04555334321814,-3.2323722797345757,2.780230325902431,3.349791270150404,4.13575359690185,1.946201473524357,1.3615383744548253,0.0,0.2650607434748753,0.32781242795314447,0.4985441317844477,0.8029144857881816,0.09033565751789263,-0.48581664690398485,-0.15943217468906967,0.44392507937836856,0.6812466695747609,0.121241079705253,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,10.135723333544796,9.947637816645553,0.8848876691781218,-2.1832686740617255,-4.270039307363561,-4.750981418382374,-5.6798021641320435,-1.339566177898532,2.647232719920341,3.793853346408093,3.1743576836386405,2.887511515266493,0.2650607434748753,0.0,0.06019002442018784,0.22915195064288651,0.5315446673442266,-0.1762157494760671,-0.7514914731014413,-0.4255759803888466,0.1764785988871148,0.41201283701366354,-0.14390876740983755,-0.3172524711017779,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,12.926247966070061,9.771098335732773,0.6424404794754963,-2.217274808825419,-4.4688143953116946,-4.609940626158901,-5.891536743926923,-0.37627064857193027,1.4830395261784721,3.7917035796058007,3.083089015955067,2.882918060569546,0.06019002442018784,0.0,0.16738009553885005,0.4672074986333536,-0.23450635300570913,-0.8055462467804354,-0.4820243401306087,0.11551118753700407,0.3489921438615447,-0.20211325127443064,-0.37270655439498945,0.505761456977047,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,12.989692902786256,5.457857782118111,0.393330154648206,-2.0616613004742828,-3.6963118447439918,-4.415812008800756,-5.6264434155563725,-0.18605838836595368,2.3365837684155126,4.003447832898162,3.3377168763055325,2.4650073481798724,0.16738009553885005,0.0,0.2987714097702039,-0.40035290540643603,-0.9711782327721485,-0.6477607012253912,-0.050689306238698606,0.1818155676418004,-0.36706973376471286,-0.5334941624830103,0.3482538167452711,-0.49954972164415423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,12.897946607832065,3.782787680192918,0.1852453993941019,-0.03703375583886803,-2.8579990332186114,-4.299821241867841,-5.635043684121368,-0.48340560159398294,3.6676587762802155,5.313407824660341,3.657916549552506,2.1933128366213133,0.2987714097702039,0.0,-0.6976107446831316,-1.2705849834229976,-0.9459192909123315,-0.34702724511924365,-0.1152304301499395,-0.6625941822355057,-0.8223290558565521,0.06917263143988528,-0.7814303692701285,3.0333290437358054,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,11.725516370301449,3.0201045539704765,-1.7881719977974662,-3.4122210514667515,-4.727117648039746,-5.239318848959827,-6.607152762783667,-1.4765784876722785,3.49646226619371,4.293581548955074,2.0686032142149977,0.09033565751789263,-0.6976107446831316,0.0,-0.5683359745120061,-0.2463701445266231,0.34867303004811206,0.5822979509116727,0.030970667080806535,-0.14458844715855124,0.7246422216588471,-0.11999260553124014,3.7159027705129963,5.516502921582137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-26,12.465041291957053,2.8829594825414695,-1.1561641686442634,-5.80434917189293,-5.272995444648576,-5.337710199154737,-7.794832724967808,-1.727660525534401,3.062552417328332,2.445875703762911,2.167004351376731,-0.7514914731014413,-0.5683359745120061,0.0,0.31619274349223875,0.9014793289386036,1.1339457879262944,0.5856328835978255,0.39938061727289087,1.2410362961768362,0.4106544978410014,4.220423213885382,5.990211882192721,6.089118232105148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-29,12.299880707456154,2.4610716414234624,-1.0455081185312878,-2.7188680650071433,-5.310413360327054,-4.865124459277275,-7.5281184404342145,-0.28551722578808736,3.292836680632531,2.592795596183496,2.3998355391498176,-0.4820243401306087,0.31619274349223875,0.0,0.5908420456704918,0.8239879178346416,0.27391401037878504,0.09365003741702571,0.9509084720880363,0.11241390425463038,3.9373314392300838,5.724654816603705,5.819628589903896,6.000997481727789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
