Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,53.40146846282323,17.68776364934332,19.48106276429403,14.148188710185218,4.977720462382337,8.356216531722284,1.9630971837194835,-2.9767279495533145,2.5912146312994455,1.4996922199963674,2.6456785043282194,-0.537666101352652,0.12537222531021527,0.0,-1.3867778967558075,-1.3522541468716325,-1.2994356340579816,-1.3936120896810316,-1.3779962573629303,-2.072763262746048,-1.4713736482532291,-2.049000986159986,-3.7074617135741974,-3.6955616918107888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,45.72928839841446,14.344568757111542,17.66109212655357,12.562831309045295,3.598157877410525,6.512429721439371,1.1387398370868862,-5.00881566724218,0.8904161493615339,0.4793387714176731,1.8897088246771379,-2.8671242262356564,-1.3867778967558075,0.0,0.03242656297952984,0.09157998716578242,0.00825013956371179,0.026997529862322844,-0.6716671338837708,-0.0667378018734548,-0.6302381654204952,-2.3057293651096273,-2.309234067032927,-1.8118161217185689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,46.042278977694295,13.51230282510058,19.57830584884553,15.000080563944563,3.448265101159677,5.684822477645056,0.6956399345490283,-4.8046040721024195,0.7550875709832852,0.39117619291292893,0.6161844260725617,-2.552963726646407,0.03242656297952984,0.0,0.059087574562810996,-0.024613148048235223,-0.005912982461250937,-0.7054631269996534,-0.09977098242716709,-0.6643905303563691,-2.3418250500027438,-2.3449733988068107,-1.8469279113014094,-1.8412349403959731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,45.074330588758116,13.00676102281026,20.7420498629372,15.071077320241471,3.9355187717206803,6.84165658559888,0.8085087217671312,-5.700556823225046,1.5686625611119362,1.838179936639965,-1.3536281219446835,-1.6531319976275873,0.059087574562810996,0.0,-0.083760564062213,-0.06528186490988575,-0.7613349451181585,-0.1586776426394011,-0.7212048678539178,-2.3899289988919312,-2.3924111056604,-1.8968605503224958,-1.8911574804706512,-0.3556612912806405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,45.19422370216542,12.57905712783175,19.47105525169265,15.084042172554877,4.051267182993492,7.592294495744213,0.9982850576758278,-6.284426788386854,0.8991836544201526,1.6857151624501236,-2.2011002139469857,-1.2625217200714243,-0.083760564062213,0.0,0.0185268920893355,-0.6725771195596402,-0.07419503618834755,-0.631697981291051,-2.2890129974634146,-2.292390206160831,-1.8003558215479898,-1.7947474043409428,-0.2720286813953101,0.9704929020905739,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,43.240791454432625,11.72277178789318,17.183708767784267,13.864026807511662,4.307871287268188,7.2334985965537495,1.4632279604823104,-5.066068333771657,0.08775649844053213,1.2379929940514387,-1.9347956549726366,-1.3779962573629303,0.0185268920893355,0.0,-0.6894667475838901,-0.09250443546061587,-0.6489138476249763,-2.3022015046022375,-2.3053682955001134,-1.814501183901298,-1.8088940551965131,-0.2893702978062205,0.9509631790837405,-0.8234198746050376,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,41.85840766546302,10.791020398814137,16.85067766123558,15.018911128633722,4.390496350994276,6.295205733600907,0.4593020062906312,-5.526083700738327,-0.21940704930158716,1.2023384194233184,-3.567836114188811,-0.6716671338837708,-0.6894667475838901,0.0,0.6018644841675828,0.049506471218589976,-1.6209329790149938,-1.6317370258628725,-1.1368453293908063,-1.1316441005823545,0.384640614825432,1.6065802732751093,-0.16981952223542862,0.44359475243824775,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,42.92208922428997,10.482602607452257,16.717277842980593,15.008263933170788,4.9626375158342135,5.910095311614665,0.8229861460231902,-4.713368010022758,0.292403063620573,0.5217514512689974,-2.6896052264624553,-0.09977098242716709,0.6018644841675828,0.0,-0.55580467810243,-2.2111837101936636,-2.215367453714355,-1.7240216478373513,-1.7184692428434465,-0.1995546353187687,1.0381836435753318,-0.7362605553760924,-0.12404245192071883,-0.6627817553416104,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,38.25290836186862,9.031288103408453,15.596137475897606,14.218544573864932,4.7131538043165335,6.502059354957277,0.7531369916672617,-4.765840533118337,1.1103183619917445,-2.118059971660593,-2.410358351247362,-0.7212048678539178,-0.55580467810243,0.0,-1.6487612809249712,-1.6588981658938937,-1.17035494164715,-1.1651890538606202,0.3327348729420869,1.5409830640124946,-0.21349930777875414,0.39230451233973795,-0.16242369093405706,3.442049618465112,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,36.31451996834317,6.890785634090772,10.576934838937284,11.923567137094382,2.4707745673121195,5.052063494376471,-1.4086593170479045,-3.8458725051938103,-0.7535147025067301,-4.5306541342809235,-3.5701887228271603,-2.2890129974634146,-1.6487612809249712,0.0,-0.028774563659966335,0.4721984811622002,0.4764046199829899,1.9745332645248923,3.1445478961574,1.375687512826067,1.9879183879247906,1.3604598545982078,5.0734206867319465,4.704970790416166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
