Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,16.540661737273922,26.527805370840316,27.04177454477373,22.004251316237863,28.59582851182047,22.950429508615642,13.195012726844167,6.088713876710138,2.364549086677089,2.1335810082699043,1.0239531580314827,1.3085495049924856,-0.37072789430073566,0.0,-0.14864548286876234,-0.05981266573900268,1.1830840217688767,0.4260376555889991,1.2348967460341695,0.7867060614310688,2.850981197495675,1.5954682517842134,1.2861060639928423,2.203083872430847,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,14.90027420294539,19.921573835699537,23.29925910875137,19.187261304110947,28.419133955164032,22.94839468456905,14.608881109515563,5.464485693700508,2.253802739465754,2.3511014367009206,0.9558159142543143,1.4324268002659597,-0.14864548286876234,0.0,0.08789565886418235,1.3216611094073973,0.5717627787118433,1.3745833453133993,0.9298345703875117,2.9779616278804166,1.7340939904468975,1.4261476030051312,2.3342757063037975,3.7157107926672492,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,14.509082353762967,30.267502253411475,23.909202961997075,20.86956686663128,27.959854863248847,20.442039158850058,14.768684931805756,5.245337875707959,2.5823972833805335,1.8398930005045866,1.1202638665099132,-0.6473784299019452,0.08789565886418235,0.0,1.2342902139236998,0.4831258101972631,1.2863451935597794,0.8413181833780636,2.8909029569087585,1.6450604714796588,1.3374948129995077,2.247270775300178,3.629681942982838,3.080081743030453,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,15.829767693096741,39.757769713612575,27.467235566281616,22.22855980705888,30.05638007513918,20.47694084793418,15.929198887217192,6.785239490988991,4.615215125831701,3.1911644982945626,2.5564337617758044,0.4647586531101391,1.2342902139236998,0.0,-0.7485984280518411,0.03874472350906033,-0.3982735224584656,1.616850953500698,0.376983115026404,0.08283226323677328,0.991074262786325,2.350144561067344,1.8103774341987307,2.130220659603948,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,14.980794585120496,37.95539571441546,26.750403994965165,21.29801436699018,28.6298471912317,20.179207385843647,15.940468791308707,5.922254752365193,2.9916097872198035,1.512924546944718,1.6850525269223784,0.044677780296480174,-0.7485984280518411,0.0,0.7885129553777468,0.3513284924674381,2.3657349663371576,1.1354655484214438,0.8363778660526124,1.7358794387044125,3.094525405694189,2.5545882539512874,2.858439924931596,3.3862713616067652,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,16.01103473419253,38.227149029159044,29.78009335865859,20.791214640164434,30.24661132661513,22.11569854701912,16.010601631073403,7.591035197923187,3.485266419917413,2.3421084867239497,2.602064255146278,1.2348967460341695,0.7885129553777468,0.0,-0.4323932569931228,1.5614809409824335,0.3342198183554981,0.04342868023175883,0.9425232610140084,2.287258566530995,1.753202022449368,2.0704841924258193,2.6241820074417426,2.4860318687214185,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,15.243373803660273,36.13278483232489,31.140741346310243,20.267844121062975,29.702830515809577,21.29719624031828,15.793427475724515,6.311098544160622,3.373454751120758,1.9432879911065033,2.410786692824444,0.9298345703875117,-0.4323932569931228,0.0,2.003921737138941,0.7757856494905262,0.48060577665088644,1.3793506142893461,2.730897056733621,2.1939391866197844,2.5036136324589022,3.042696037967549,2.9109425207161492,3.323455077850198,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,17.319106328084388,38.79995266599269,34.96350022473963,22.73049387717462,32.668543419917526,24.357710359981244,18.267115597979334,9.64582483883409,4.937845804861043,4.15059585765441,2.2676577997076506,2.8909029569087585,2.003921737138941,0.0,-1.2265467392988252,-1.5023827580677915,-0.6003081781641314,0.7229497056113892,0.1981170029278258,0.542915923307846,1.1493686565068666,0.9883316537764157,1.401823059120277,0.8409528395995043,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,14.40608520265604,33.667898154230286,32.35865031154536,29.976064531624694,31.321994034983693,23.414006863790675,17.861652631445292,8.351745246967528,3.669170208409863,3.011916820236582,0.8596632990123205,0.376983115026404,-1.2265467392988252,0.0,-0.28421368352683174,0.6049602326243886,1.9293692577051584,1.4035321218052015,1.722914071550222,2.2812782481137965,2.139905929812584,2.5478152395807445,1.9437128489911615,-1.6101048102714,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,14.391863143488202,34.71807063309349,28.72287133198173,32.39029822248613,32.53186402879498,22.899934325747033,16.259288147438895,8.316996335593064,2.418194739311552,2.5751387958645804,0.8957810453435138,0.8363778660526124,-0.28421368352683174,0.0,0.8946417229286894,2.231992151338469,1.7008878870469832,2.017338456102309,2.5697173686103616,2.4316244826847733,2.842121318856518,2.222056558253393,-1.3622379216859262,-1.3205517722016547,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
