Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,16.967872891064033,5.8504942168281175,3.2749387338259073,4.6015559876448595,7.028779482872899,8.638095663517587,3.2470563214169577,0.8392171459511939,2.2338620442912918,2.167616915721063,3.492780489897547,0.43510284748201244,0.35686451928612817,0.0,-0.19860033810315836,-0.3122596388471503,-0.0882346129241649,0.9224388637215197,1.762748357929814,1.3884192241152493,2.286410965792472,1.554847800224242,2.1559085084130087,2.4703652593103325,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,17.597839570055065,4.7696707203253155,2.5299450092340763,4.898123019669496,6.17999899518534,8.139791195337416,4.315517047160114,0.2546057949897431,1.52244277349949,2.128517464796701,2.179678221236572,0.50083154005786,-0.19860033810315836,0.0,-0.11313979530057713,0.11009630035971885,1.1149114360465784,1.9494575622758472,1.5777769987453574,2.46926699280728,1.7454634512725207,2.340731371332713,2.650681612716908,3.02720898991397,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,16.406704289330616,4.208035214172462,2.589554142077896,6.228145234252503,6.527230135040362,8.60830113862794,4.37146371263689,1.1621188508202316,0.6792094082065487,2.1941557500634605,0.940411466064309,0.5146523777709611,-0.11313979530057713,0.0,0.2243487028657769,1.232851660606053,2.0699470264118096,1.6971778862728524,2.5911935888281135,1.8667589014560928,2.4628828169853407,2.7724260689273033,3.1500468740707346,3.1599931818424256,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,15.148528867508176,2.887274855503783,3.5590044027749403,5.64147820370566,7.858480201776651,9.831321845831976,6.463554150874041,1.683305907100177,1.0967419841625965,3.097489700342929,1.1882765315023072,1.2837854883978674,0.2243487028657769,0.0,1.0000640513933883,1.8311585713989185,1.4609702255571257,2.3489631620007376,1.6266326794275519,2.2203648454782208,2.530336131799707,2.9053608257131485,2.9153867710113994,-0.4110011686150261,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,15.877467899957662,3.379210994986188,5.009042215650275,8.44518241400133,9.526787453487067,10.724132789030886,7.501926931061849,1.8396622428328069,2.7017834351997942,4.836386960977323,1.5775444281545692,1.2866127229228101,1.0000640513933883,0.0,0.814209395284408,0.45114195144044983,1.3227829975067942,0.6016139352718688,1.191515361890532,1.5067694529220843,1.8746601335762714,1.885142720282218,-1.3614600295189967,-2.2459163399770095,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,17.25929898057424,5.438806289717906,4.886185039260935,9.607537914685528,9.634643019131563,9.284181401039179,7.602983173083921,2.4916594858061565,4.077844714529749,5.463771850067527,2.2337668849853065,1.762748357929814,0.814209395284408,0.0,-0.35890883789984673,0.5033464021196595,-0.22000188816973898,0.369365727151457,0.6902285764519379,1.0539709292598924,1.0648659501323863,-2.1315967324928202,-2.9748924568177113,-2.728267831693178,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,16.433602191977084,3.9147066307561182,4.443065115256051,9.071582667072036,8.665719632691001,8.354410240470875,7.31857429565955,1.828351137981926,3.836544826309207,3.8815287830788483,2.1221633609498145,1.5777769987453574,-0.35890883789984673,0.0,0.8660648846922347,0.1439730603138687,0.7333397471432008,1.0515893100782812,1.417022434954246,1.427730404780203,-1.7896515960884174,-2.650837368265049,-2.397317228907033,-4.3998702825344775,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,17.454343188080443,5.108939587453303,4.227898740862244,10.87049234953631,8.880535256714317,8.70724817617566,4.360556016802503,1.1309075653330627,4.988142260852495,3.650980124769684,3.173717781253927,2.5911935888281135,0.8660648846922347,0.0,-0.7256254050041965,-0.13582285368919472,0.1889052209208108,0.5505671891913418,0.5617299891715991,-2.6080333849606663,-3.4271052089056715,-3.18987510471573,-5.1699741283629495,-5.65973081952683,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,16.617669101345545,4.651287963085,3.5924138543813022,9.572971694494246,8.74210554528742,9.157352148807204,3.285917506120942,2.329628587255076,4.920891339102932,2.912234665238552,2.9850039671637147,1.6266326794275519,-0.7256254050041965,0.0,0.5822480857433898,0.897674729376748,1.2580330658919916,1.268684789828485,-1.9016595893938022,-2.7454520262803284,-2.4976887850313974,-4.47213981839502,-4.984969749753949,-3.079841635534459,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,17.56506468154602,4.949892629927604,3.2921826188126175,10.434376450468376,9.924238809097606,9.471857079674665,4.047730813202602,5.711133800187337,6.185104379397183,2.838319650002867,2.5227795024006,1.191515361890532,0.5822480857433898,0.0,0.32206537452193573,0.6824698888044949,0.6935050671667096,-2.467502123714398,-3.2889458345157827,-3.0503924923245656,-5.023887886379631,-5.516626824663385,-3.617637530717282,-4.196292316647599,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
