Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-15.47085284006391,-4.735948224588848,-3.7113526097453846,11.29761542406945,11.187688768762673,7.850480656423715,-3.545386097014978,12.682654625952216,7.683133224430026,5.3271510663905595,4.353782169619413,3.8745021352155202,-0.11230310954952183,0.0,-0.28002627962661786,-0.6518878753512317,0.08321726644213623,-0.7430287614169035,-0.38123054385426736,1.5242748576986833,1.1514024170718233,1.1758989481781335,1.3180082270845137,0.6677316379171117,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-16.871417880014274,-4.052907875860669,-4.593230544356741,11.855343617103992,10.654817155767873,7.762375296622494,5.9641962748161905,11.950162200818014,7.765834218588312,4.3573701931573625,3.1844890296415223,2.7145861762578654,-0.28002627962661786,0.0,-0.36986763107678466,0.36162483872397916,-0.4569414123634892,-0.09690924525261502,1.7959166587223068,1.4256642157234376,1.4533369533886842,1.592592661720796,0.9435022083054302,-0.18808038456628628,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-16.83991770195227,-5.219732654526798,-5.573242348453618,8.361490720537253,10.072093843518047,5.170589547036915,7.481994621724569,11.006268741239863,6.146444287588124,3.519762678099349,2.6543383246477497,1.7392293663696399,-0.36986763107678466,0.0,0.7370317990096664,-0.08289571606869717,0.27987889210965755,2.1826077665139327,1.8106041369737627,1.842892686137338,1.9803223031026116,1.3236304110016799,0.1861846558527781,-0.5839292694891487,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-15.123591358560509,-4.5559768038219985,-5.727257410848788,10.39891512381454,9.98556323098731,-0.8481669647152028,7.093125527226123,11.8919397167165,7.161994752808231,4.0938281241365635,3.7404209444347307,0.6539111895546936,0.7370317990096664,0.0,-0.8162771595267667,-0.4593143506514691,1.421718891427971,1.0535943140243493,1.076792908933871,1.2176389514779788,0.5766387111099768,-0.5479488485884846,-1.308640465312638,-0.15841867705190138,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-16.448670951698084,-5.680072461059119,-7.521002226182842,7.92563967233076,9.62953487548683,-2.8738580541021808,6.848798221676592,12.150785530847978,5.966067269397425,3.648216512041839,3.525656678209107,-0.8541660177069006,-0.8162771595267667,0.0,0.3587721520586128,2.239527942240254,1.8718607514126497,1.9047496299729358,2.0400361142855417,1.3900124227501507,0.26571454232032066,-0.49557750191642974,0.6375082193667179,2.2129037019416913,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-17.47413253219443,-5.391287708652891,-3.696747657613333,8.620001559513797,11.926726376297449,-2.3739604455215026,7.365379109370533,11.183893655214309,5.032890751194455,4.039631262012174,3.5620293814422954,-0.38123054385426736,0.3587721520586128,0.0,1.8701805508292946,1.5044049085460318,1.5328812327587162,1.6698225967204958,1.0274304487661672,-0.09059964739878068,-0.8473002555279435,0.28681367623795806,1.8674051197981516,0.6125332588041008,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-15.322955137893079,-3.0355474210507563,0.3948408410533695,11.764813627083491,13.164578088911373,-1.0286356296750885,8.448829802256737,13.754366818712015,6.365719858342449,5.148459043457131,4.626603210684148,1.7959166587223068,1.8701805508292946,0.0,-0.36036497218016755,-0.3541597427387275,-0.20713884187894094,-0.8179521064826417,-1.9169539199939067,-2.6589865216072477,-1.5063374416604245,0.11936263916482837,-1.1430563342090236,-1.4088782017171138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-16.67279573201254,-3.9329404514150976,1.6943339672863615,11.545041947668398,13.474550950288798,-1.5524730979552608,10.325413898580722,12.188421955514142,5.525336470201246,4.608811229389397,3.6397555562086414,1.8106041369737627,-0.36036497218016755,0.0,0.010503904411760967,0.15550526442792234,-0.46110577270602915,-1.5632399533652959,-2.3077390966249762,-1.1592396663742606,0.4569442681517808,-0.803393196677546,-1.0717312685475022,-0.3107411469108943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-17.159282668626147,-3.7821660245167514,1.966662682522884,12.26486140378265,12.31293776850194,-1.9594340153586813,10.532590204940202,11.058710860872203,5.357100538724444,4.974887588777671,1.7689335376165904,1.076792908933871,0.010503904411760967,0.0,0.14335946608052375,-0.46585998257611627,-1.5549882267593007,-2.290691790740594,-1.1555343918090855,0.44197911967118664,-0.803646723562129,-1.068768304523653,-0.3163981372688056,-0.9703982018880755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-16.13677738633637,-2.6679962421398926,0.9008689666061578,12.146281561525631,10.82583234878095,-1.0570939741891703,10.47976330591495,8.289211500749754,5.899545981493217,5.730002369142753,1.1964606312221764,2.0400361142855417,0.14335946608052375,0.0,-0.6108937472808007,-1.7058930501790037,-2.4454229826035294,-1.3011962063598452,0.3105435020081142,-0.9440507127763924,-1.2099036582545493,-0.4484418898701392,-1.1078725977673525,-1.759128116068017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
