Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-24.09454572218688,3.844996997737482,14.835823118153952,25.03487096865804,27.779216117260376,21.634797149459445,2.614248881312104,10.175032332710641,-0.5864267192932529,-4.787243038477902,-5.72472165535948,-3.7479127317980323,-1.2854349905830238,0.0,-3.7800375318806503,-2.6246835113763938,-1.9795211994043034,-2.8780022542532544,-3.2767381133693414,15.12313445984078,21.303727448728377,19.583776880450074,15.63000082303116,17.16859857224667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-17,-28.11684278010135,1.6114017688191957,11.634319747810423,22.428344324619374,24.7576155984169,16.19490303868951,0.6709266823077584,5.076573748114088,-6.798024094339045,-8.535117259747643,-8.405994695637983,-6.9458779271266256,-3.7800375318806503,0.0,1.1828186983580702,1.8638622103775497,0.9706024293297453,0.5687687589027186,19.503979057073366,25.867509272844554,24.14398197271686,20.047850365758467,21.588224950151403,18.968270383387146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-18,-25.352067821006784,2.3417591882083,13.762291969573942,22.830597303828185,28.98438998003517,17.009983706587036,0.836937137189226,6.519564756893626,-5.0492949008754895,-7.977697189897954,-5.992321903960224,-3.633005448698654,1.1828186983580702,0.0,0.6690246300516867,-0.22469201437017183,-0.6250413941783507,18.119426279376242,24.417914751518293,22.69774119318471,18.65110866411819,20.188926392897507,17.59487829462983,16.108841007260178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-19,-24.048604058389387,2.1273713681284185,14.61497930965332,25.549495628497013,28.93778020178342,16.108124575305578,0.2448608028450323,6.40787975996566,-4.16575618613219,-7.6920115425665845,-5.714476586972641,-4.770804396886305,0.6690246300516867,0.0,-0.889264451232628,-1.2866787155039279,17.25283341682209,23.481924628922457,21.772678138194394,17.774926763160014,19.303221630698317,16.7372641910789,15.267936091164222,14.598212940314435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-22,-25.073672069037922,4.007739067152681,11.041175402028124,23.17413011787096,31.206480070940078,13.539277203761873,5.616428499687544,6.141964030421729,-6.205080149156027,-8.815201578268839,-6.795851266440922,-4.14248061999552,-0.889264451232628,0.0,-0.3958075829586382,18.158529861635017,24.393307242508573,22.693209908321943,18.686078150322064,20.205865970284247,17.63822108600516,16.167103505173174,15.478024387696554,17.04591050067338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-23,-25.682895866687883,2.9224759712091064,12.107866319940038,20.543478984396735,29.93958250151308,13.61979016377766,5.3681480309753695,5.175935194942525,-8.12735369218735,-9.069180015249584,-7.020731877252813,-3.2767381133693414,-0.3958075829586382,0.0,18.587270108031912,24.833427212335454,23.13498738711286,19.117994244658103,20.63615430868497,18.064114055264795,16.590112147891865,15.89144301036249,17.446322589559173,17.95461071832002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-24,-9.443541199001128,25.65331227290322,39.27960741226103,45.43437639960709,54.9043062527693,37.980621336594965,24.363304163118784,26.848419931262228,10.064199535941071,10.125890076595002,11.48013874011793,19.503979057073366,18.587270108031912,0.0,5.260178089152594,3.641476175123282,0.35938356087659984,1.8120642106241371,-0.3654883476964097,-1.5989299302240363,-1.857614262093033,0.07970473267022005,0.253208255419616,1.0518338359755104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-25,-3.777612132091523,34.094224944909755,48.351571901170836,54.17210381910925,61.32220300910383,46.65739308929929,33.38925027888383,31.891652516099484,15.445339977602224,17.638856665167975,20.286755947670272,24.417914751518293,5.260178089152594,0.0,-1.596070728143201,-4.678342233732318,-3.244338826118429,-5.3143163794004415,-6.482229330956642,-6.62256502626664,-4.584003476814087,-4.500533918074501,-3.7185399742935727,-0.6235996880410415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-5.9472822464237645,32.1257404588782,47.093557143022046,51.46544446822704,58.15914014074508,42.955351937638156,31.404490041303642,25.47239686576611,13.270926204100807,15.376647491824347,16.19316191427831,21.772678138194394,-1.596070728143201,0.0,-3.105810633125486,-1.6832250448562427,-3.7609952423896456,-4.934760261898536,-5.109064722511615,-3.12521523639981,-3.015627077544546,-2.237918381540176,0.8136696678556277,2.535672339234199,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-11.77957785512366,27.067974281694728,38.58906616100481,48.956855761751626,54.005501828297604,37.931532796288984,28.031117226027927,17.96107970772612,9.170838811137994,11.1828742703888,14.052863926034739,18.686078150322064,-3.105810633125486,0.0,1.4432775041290709,-0.7145344367234032,-1.936468311258182,-2.185318277241421,-0.2515901124796125,-0.08543858491454603,0.7075660755686908,3.765140867559837,5.598380054523763,5.082454999244394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
