Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-7.282638911097225,-2.224164604814428,-6.2251841966869,-9.672038450059397,-13.783235321091233,-10.492427127680903,-8.904869953064043,-10.781900301152278,-4.636812768500132,-4.655081502823291,-5.693253771783683,-0.2051408474684231,0.26201787741890264,0.0,0.8506705023036938,0.760392890626848,0.08311751743007911,-0.5704731185718079,0.3300347143176232,3.066521034363912,3.620428609229199,3.531885583429349,2.979370016704113,3.7917764090673334,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-7.601273553278613,-1.9056071646306307,-6.0173008311520295,-7.4496524284254075,-12.710863009101688,-8.616436145936484,-9.81027540369232,-7.996629868199595,-3.8758975812938172,-3.218846112266869,-2.2229225782442543,0.4286660815049701,0.8506705023036938,0.0,-0.08733735774695775,-0.7563472587378441,-1.4051905608280117,-0.5223740887476207,2.1664071196084116,2.71005258261009,2.613043305946177,2.076022458209372,2.883399159346623,3.7411401103349946,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-7.307281819497902,-2.0058802250632652,-6.59376489208157,-7.042362840792057,-12.049268349163254,-8.809968236725524,-9.360593636155363,-8.588195938325185,-3.2010311121807775,-4.170232167533943,-0.8338779321581478,0.0956248723595563,-0.08733735774695775,0.0,-0.670295783991274,-1.3200492022083181,-0.43483648526327223,2.260606111986181,2.8056620096683536,2.7094626334406344,2.170496207799991,2.9789149256578202,3.838839965567167,3.922078214131014,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-7.9217431971760845,-3.566930321559507,-7.648152226125475,-11.601141917094125,-13.342450787334508,-10.221499042712573,-6.049600796855136,-8.63913088773609,-6.1617645968400385,-5.328108492050822,-2.1576901066731757,0.034911794084101055,-0.670295783991274,0.0,-0.6458432109420474,0.24289858807885079,2.9442229061702907,3.4909538240753886,3.402568462258935,2.8577263628171927,3.660588084189464,4.52284076627682,4.605834872993464,5.3773874054464175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-22,-8.260160248774802,-5.00463661109195,-9.486962101596259,-12.772119833471512,-13.04101426253533,-11.367497632816596,-8.137707416716378,-9.072363627728802,-6.269810953419325,-6.312966742807216,-1.660853572023654,-0.3026025839447877,-0.6458432109420474,0.0,0.8887167799925846,3.585341688492912,4.131583914552942,4.050992676384306,3.5026234807933836,4.297117411501432,5.15829969188164,5.240743993843699,5.9974352838013685,5.657478185662313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-23,-8.11820040582019,-3.847238313378302,-7.673677228107776,-12.926569868741085,-11.751115680945516,-10.284814466075058,-7.690143013392456,-7.724521850723945,-4.434260958191998,-5.4979091619889475,0.12303182043196914,0.3300347143176232,0.8887167799925846,0.0,2.6676146599648662,3.2073513116823915,3.117233004906434,2.580850935822367,3.3762812751468614,4.227614491483065,4.3097234020103405,5.076665672308385,4.775471451655148,2.3541417406599194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-24,-4.837290788349442,-0.4773065555212064,-5.099862574161891,-9.999223370698411,-8.468539303892909,-7.54959694121903,-6.162468509275549,-4.52352555517416,-1.0660953344661985,-0.04663183813617078,2.6500810066712734,2.1664071196084116,2.6676146599648662,0.0,0.5244329118160407,0.4058059034278645,-0.09920529534378691,0.7044737019873646,1.5328747759114152,1.6145705889750337,2.4168269836192646,2.2270018583123985,-0.1750292756798224,1.5554026244077055,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-3.77978523146837,0.2832163855609977,-3.5482767842381957,-10.103257354020986,-6.698068245605148,-7.17678879436674,-4.042678867257211,-4.321524888103118,-1.419989810732278,2.0239739315838134,2.9562192791285375,2.8056620096683536,0.5244329118160407,0.0,-0.124111249281178,-0.6226353287983991,0.1820829656402969,1.0054151366698247,1.0869721206604772,1.8955555753327202,1.7276194804921028,-0.6689326453425437,1.0539157101822516,0.2907856210144413,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-3.995013868410446,-0.9073128634219287,-3.452308868770256,-10.980024272039628,-6.641204914361268,-7.278729778566972,-4.539721450498317,-5.088848877336724,-2.0635144700287427,1.2312323974212314,3.491992003012786,3.402568462258935,-0.124111249281178,0.0,-0.49412186003135494,0.3008263570063441,1.1155816762500315,1.1962049849430672,1.9937488158627332,1.822735542171019,-0.5467044305621975,1.1574968972539201,0.39806819371277236,0.13892891280033126,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-5.468788296258843,-1.2482686897426873,-3.482358719515238,-10.642154613969637,-5.6220743725409665,-7.170728235068152,-4.683805934135033,-7.325970223863229,-2.8877423190662257,1.8862307656819555,3.245970702297533,3.5026234807933836,-0.49412186003135494,0.0,0.7988884530356573,1.6235087086275917,1.7047636223266238,2.5012411496961002,2.308376375559149,-0.08095466132532536,1.6410133157631783,0.8549786452063497,0.5995328852554076,-1.4994662868736155,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
