Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,8.023894300361352,0.002418922186055994,-3.2997460480127234,-0.7764484555422584,9.326876464612418,9.99007328153728,2.8862076784671338,11.584051794872687,-2.153954533390014,-4.269494668622298,-3.814791335729114,1.2520082223108215,0.5207483481367434,0.0,-0.025057221243902306,-1.404590952110084,-1.861793467078886,-2.9227021217535185,-2.579418886126052,-7.180783363858712,-10.32775532355886,-10.576397061962844,-10.582423860022041,-10.271801986368386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,5.3714063286859215,0.05125227591913628,-3.256658909831094,-2.1007147183334354,13.076394456771403,8.865372208045333,3.3044786881994987,11.15101724659629,-2.619413738186957,-4.291387353128231,-4.291725647491076,4.051865009773234,-0.025057221243902306,0.0,-1.3670459685542575,-1.8199878032385042,-2.871061229223251,-2.530840861385709,-7.090433263242178,-10.208811620412764,-10.454897517841188,-10.46104093121001,-10.153515429443443,-8.734624720211166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,5.592695573348568,-5.4773119689409615,-5.481771239488753,1.9754104072831442,13.57637266895695,6.619743279343908,0.9314617961630134,10.418794196264104,-4.9839270868346475,-5.779001471162317,-2.900807047051411,1.5233715068586098,-1.3670459685542575,0.0,-0.4538854959303374,-1.5100280699075501,-1.16146976815872,-5.792634850272469,-8.958575014781083,-9.191800261339099,-9.207634807741034,-8.910765827528468,-7.4691632622026605,-8.1569049944743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,6.860145184637275,-5.831220650644736,-7.314979551939489,1.329936974358617,8.4489635332849,5.45285803852245,1.140359415397734,10.194106274044213,-6.124231422099781,-6.139141397771364,-2.627548268857962,-1.2204357188800816,-0.4538854959303374,0.0,-1.05264291066184,-0.7030360282464349,-5.335169470221337,-8.501319846163867,-8.729150179411883,-8.748111214462158,-8.456220303667509,-7.0141733099782115,-7.702316326642862,-8.032296845720511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,4.14501504230903,-7.330831291426419,-8.802413710656918,2.2166493218478927,9.48738284871784,2.995071711429709,0.08751501402748652,8.065520667603197,-7.553126763824613,-6.89904966800412,-2.388146945193078,-2.396266080359812,-1.05264291066184,0.0,0.3527634058920406,-4.291383993692736,-7.464704426249638,-7.680573550803086,-7.706785229704389,-7.425758899927572,-5.979642076969111,-6.670163570864692,-7.0232510017620156,-5.678435065343544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,1.9809224292289862,-6.585507018453388,-8.595326127016548,2.4715444268286664,10.75883011214422,3.5396795413687894,3.143633124119047,9.14062946780393,-6.923471098140263,-6.4811618694419035,-1.358378097941368,-2.579418886126052,0.3527634058920406,0.0,-4.61762019244191,-7.773160200887224,-7.991959052028094,-8.01563272738278,-7.732357429462426,-6.2946101224967785,-6.9809904876812565,-7.3246817843307594,-5.973506338941318,-5.838585264838148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-4.334104867691529,-10.032443126046621,-13.318158952110682,-2.841544965771762,5.288955306192424,-2.293625981391534,2.0592256105738223,3.7872349527613896,-11.446131104804625,-11.412194307306613,-3.4074194619038103,-7.090433263242178,-4.61762019244191,0.0,-3.307329261852256,-3.479461833122922,-3.53731194898521,-3.2932398432173313,-1.7826472893410843,-2.505803349619037,-2.9685160590059954,-1.7443241984724471,-1.52391958852217,-1.4507255588548098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-7.0563839481432,-15.176821395176699,-17.94880717050507,-7.577534576298383,0.5665404087493222,-5.176726040747988,1.2335411930119093,1.0957779439165893,-14.697795740296502,-11.922817577064654,-7.711570204051512,-8.958575014781083,-3.307329261852256,0.0,-0.1374323564928186,-0.22050850906556985,-0.00568831252546842,1.557261940867103,0.8076331449150741,0.25733488597579157,1.3863357061565038,1.6697597691834338,1.7291809521197061,1.5197064751882987,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-7.394820351461128,-15.524021399749541,-19.14441958911965,-8.49598442757522,0.5328275818539616,-4.965146782052923,-0.5345148397400585,-1.079239526379169,-14.88454787426716,-11.462421515730384,-10.005030717979343,-8.729150179411883,-0.1374323564928186,0.0,-0.08313121975433468,0.1279914165495042,1.6748172628537512,0.9328668206363475,0.3854353484768729,1.4973827759613139,1.7800582241844012,1.8382257200459478,1.6261555855383438,0.07054299371971418,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-5.679819881409255,-15.265441815424854,-19.548862592444216,-6.007390451664504,1.930323407243666,-9.422079964693463,1.262813533709263,-6.148024372587474,-14.541243895547014,-10.180560999436416,-10.065022831582723,-7.706785229704389,-0.08313121975433468,0.0,0.21181864960691343,1.7704732542018775,1.0228147411876904,0.4694544477442961,1.5865532778002889,1.8727391642035545,1.9309542483235385,1.7143130931207917,0.14797692154668596,1.040927135245659,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,-5.475245640565863,-13.487510701917575,-18.82676881312983,-4.882349564709115,1.317416622915724,-8.734518477434609,1.3931696025423026,-7.9886717508985825,-14.152950410623122,-9.234976501896456,-10.271801986368386,-7.732357429462426,0.21181864960691343,0.0,1.5723573148056145,0.8182142959410703,0.2644835479744685,1.400048064842502,1.6852711603375345,1.745022549250045,1.5340835753333826,-0.049046591834809306,0.8490540021750492,1.1881569021734046,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,-3.313679330440614,-12.771728180155915,-17.87055662542851,-2.9664669435352664,1.901250073002977,-6.341773410052209,3.1570801505411623,-5.404006576041574,-13.029903542579534,-5.168721115299954,-8.734624720211166,-1.7826472893410843,1.5723573148056145,0.0,-0.7411087240023756,-1.2532111775751522,-0.07374230937778581,0.18161566756681413,0.24779997841205859,0.0953816686500879,-1.483614416657371,-0.6198143376518512,-0.2899241088188811,-0.6163177315183859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,-6.198008072584489,-14.048741632774163,-18.363712020733132,-4.075313995248274,-0.5757339702193587,-7.495094871974141,2.3486879945241643,-9.688710292291411,-11.101390678880867,-6.892563455166976,-8.1569049944743,0.8076331449150741,-0.7411087240023756,0.0,-0.5321086504575403,0.6269755244041404,0.8966398099177719,0.9597929690532441,0.7794862172353803,-0.8021323915127292,0.07833602758566816,0.41274387620863884,0.0931474666896861,-0.3148629731622754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,-4.376500023463571,-14.259110335939592,-19.167125083009505,-4.6997556550624235,-1.4795856753303376,-6.722123806470368,1.0858129251154418,-9.917987828311107,-10.65825955337926,-9.257828957927734,-8.032296845720511,0.3854353484768729,-0.5321086504575403,0.0,1.1682726203860243,1.454428680020368,1.5166353167307083,1.3114946983458298,-0.3055983496159005,0.6060783965632028,0.9509731163554402,0.6297297011877936,0.21704533483922062,0.3334127265286475,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
