Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,36.374561054398534,19.307906421916822,8.874718670083022,7.109785850718529,-2.2542920233776638,-9.43963535468526,-5.912283165711802,-11.921367135270765,-2.7056416755860355,-2.122091824977037,-1.2848665587990924,0.3720897845605795,-1.3806155016868322,0.0,-4.583282888885023,-1.8548473725287826,-1.1286619399864097,-2.494884354572626,-1.4799174928441632,0.8448704849870752,1.1726500156845505,0.5343403738751942,0.3605597108370442,2.16784558581155,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,28.842019547509196,12.903763400115395,2.4748015004614103,1.5267317210270104,-7.42979680778239,-15.54039675448008,-11.775056449077308,-15.642507402245139,-6.0505153956195805,-4.442969090691888,-5.319759174255843,-5.63751002699896,-4.583282888885023,0.0,2.823866070732527,3.5983217431080075,2.2189394902527697,3.2827207696233973,5.692673865729935,6.0357436925660375,5.43036973036847,5.217197181635876,7.040004824194701,6.3489710113190165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-18,33.738981655256396,15.510203237082411,4.802439866495101,3.5081960704028443,-4.739620966149269,-12.534551466127414,-8.675654121342372,-13.241087302440476,-4.859212561479568,-2.5454448273931085,-1.5322624323783838,-2.7297223563698862,2.823866070732527,0.0,0.74231036796308,-0.6235878212632928,0.4065520058777736,2.755573343227502,3.0880657178434263,2.465339585758569,2.276707518605073,4.082819620570545,3.4083488799498163,5.580723749593372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-19,34.45346807440067,18.3321012149513,5.3854038073813815,2.914847236583441,-3.779887434501944,-10.55491819034935,-8.266107452681993,-9.450144180015556,-5.621526234071427,-1.6934875526273698,0.2144986463497931,-1.6814261869898806,0.74231036796308,0.0,-1.3558755658997852,-0.3393661010769251,1.9826559532065964,2.3108215693564658,1.6865862292588094,1.5052044546280043,3.298357156470125,2.6313975551721196,4.778897414269352,4.07103432871347,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,34.391514820352896,17.594760747670815,2.8978415106951303,1.9273190875333448,-4.296317296649889,-11.419480553312765,-9.129302777731354,-9.980770777265835,-5.529908351578993,-3.4164323920451816,-2.9511655494866003,-3.8603822477487544,-1.3558755658997852,0.0,1.0250874439816844,3.3591674253083643,3.6899682060374577,3.0784652534950667,2.886774431043084,4.674862681799411,4.004884075078567,6.1633624746712306,5.422787532264329,7.025231820797888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-23,33.99956617374164,9.019583967779823,7.63353396955255,2.5585305449761844,-2.9475860865415235,-10.944497711136375,-6.885107858988318,-10.265590706277832,-3.669168888345779,-2.831697977617219,-1.1203932713983882,-1.4799174928441632,1.0250874439816844,0.0,2.306001384925545,2.632132514918137,2.016144584789771,1.833703508725314,3.6109380982700214,2.948689781408427,5.081330372337543,4.371188405180466,5.99433274560607,4.93525716173806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-24,39.069188459212754,14.062142753516895,12.847268283083011,6.541895146951788,-1.5038262363572024,-8.806657667373898,-4.3640780732067945,-9.631218359609043,1.194250130439407,0.22910117830508447,-0.23004303673686977,5.692673865729935,2.306001384925545,0.0,0.3175955728537206,-0.3115586342187573,-0.4746137342999777,1.2882310900425802,0.6394585829489516,2.7266251084544004,2.0796782235331723,3.757068006447288,2.6845778882970133,3.7820028429184913,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,39.52439929729709,14.447604939263893,13.7594495350836,6.158541180801311,-1.8596452363800111,-9.00036593680921,-5.441581371576797,-9.64903639981346,0.561917222401279,1.5826277807752502,0.2897921990294212,3.0880657178434263,0.3175955728537206,0.0,-0.6305324036557681,-0.7908184882250746,0.9688560956638157,0.32237199869524447,2.4018856332276926,1.764043653221543,3.447732797634016,2.3741314854856883,3.468927526067343,4.534149937705915,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,37.51674527576054,13.758919015911921,14.037623789809523,5.557312335522411,-2.7610105245544183,-7.518339844627512,-6.326680463151477,-11.512391005564027,0.007105274918533411,1.9629180507353006,-0.03458856654620446,1.6865862292588094,-0.6305324036557681,0.0,-0.16362500536381308,1.5795736591220761,0.9369499528384861,3.0046155917993187,2.357221709198515,4.006935522094067,2.9493288682976093,4.0351553499060895,5.072542262118256,2.937907038453001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-29,36.97513194259723,13.268000901663417,12.218500129529161,3.8245267898708075,-4.195048531552452,-7.028383570354319,-7.9503265217141585,-10.106127615382167,-0.49686611544969495,-0.07647964025410925,-1.0646486535098765,2.886774431043084,-0.16362500536381308,0.0,1.7561108755759987,1.108143975091616,3.1931524942038703,2.5368345155189793,4.193924777776168,3.130064667239199,4.224274785588457,5.264595367743458,3.1141754560784687,3.324704883628986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-30,40.54376002695689,16.501468725479594,14.316966346275375,5.689326499413774,-1.769997576594207,-5.922073675929937,-2.689481736322355,-6.714317446722775,0.9171940458344912,2.5768190038651166,2.16784558581155,3.6109380982700214,1.7561108755759987,0.0,-0.6445315548624934,1.4278090947149775,0.8128269316181822,2.528910720534413,1.4435361661224073,2.5388362937842093,3.6344877428098696,1.4744727127446051,1.6610798143957464,3.0697278301095627,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,40.06978768523661,14.402167345408973,13.28950064890094,6.021474616221786,-2.406188820875869,-5.563870581229482,0.6609484662803293,-6.067262757389502,0.9025352237452848,0.4291039661467071,6.3489710113190165,0.6394585829489516,-0.6445315548624934,0.0,2.084337941224027,1.4519282177312265,3.1523045291554705,2.0710346626933367,3.1698026243345034,4.248906054932202,2.0847999005235494,2.2808946688163116,3.699576858092966,4.987839719416737,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,43.34563739443775,16.045202289345372,16.475483992850627,0.3167260884422536,-1.4492707357628252,-3.3385836131050057,-4.141256620115444,-1.6249753053247957,4.124616418947653,2.7764248854981375,5.580723749593372,2.4018856332276926,2.084337941224027,0.0,-0.5765601424288942,1.1721044135649477,0.07879066741800589,1.1655672848055976,2.2961857956990066,0.14700949497095905,0.31283316807497474,1.6984073840529832,2.935329357696733,5.30520775050357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-02-02,40.539717067453964,15.18956072831789,15.013706355006802,3.525831136955377,-2.339700496527655,-4.155741710623218,-6.037387244106833,-1.8577276307533293,4.419580031845205,2.4128471277016894,4.07103432871347,2.357221709198515,-0.5765601424288942,0.0,1.77285892985129,0.659147426527483,1.773159802421787,2.913527254843422,0.7130415661077611,0.8912815845099296,2.3167553694139924,3.595623554342815,6.038186602919163,6.045971615924923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
