Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,22.224595762588123,7.668403505412535,2.695197699986407,-2.897503385769161,-4.412497859302498,-2.0604909119023915,-3.6288849147796105,-4.457434666852831,-4.379272991917064,-2.356524688360974,-2.939012524439689,-1.1886046768319238,0.4158153272965288,0.0,-0.1930003733828487,-0.2658992228988736,0.1846029295205074,-0.5800872768524299,-0.456494903248005,-0.7965163175989636,-1.1229550144573468,-0.7792897132257042,-0.4224091502339338,-2.3480945357211787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,23.031263234264273,6.623496139621157,1.9509360713789619,-1.3042535938118114,-4.487177447300448,-2.045947515665338,-4.292177486383774,-4.290424749302522,-4.208330979431874,-2.366199987541423,-2.94380293961376,-1.0337088570546116,-0.1930003733828487,0.0,-0.07266689812954455,0.37532698264551173,-0.38213242289581173,-0.25903721589499096,-0.5966411345352957,-0.9205376924408046,-0.5771275582263682,-0.22422039172583896,-2.1377248361801735,-2.9527697910175568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,22.524050028991372,6.5917848735384545,1.0835988253009674,-1.8060285580025983,-4.52041262341063,-1.9672678546734552,-3.6795580817227256,-3.7906373310946435,-3.797397660005911,-2.469741360024653,-1.9260188014788853,-1.2011539943091742,-0.07266689812954455,0.0,0.44936543179787736,-0.30928277648941105,-0.18573811965534626,-0.5241763082534335,-0.8487890439136647,-0.5036972000734936,-0.1504646653145758,-2.0692726820218574,-2.8861958929930864,-2.385437663025012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,22.420732261013846,5.811136352941443,0.971345612745603,-0.6745857863460554,-4.139612191884062,0.14719816140017272,-1.7400399961485942,-3.330784790937135,-3.2299744333222304,-2.7614941989127826,-1.7753103483609256,0.030162562453900144,0.44936543179787736,0.0,-0.7555645422949797,-0.6340834690359008,-0.9692911703764115,-1.2913180864681348,-0.9545918360172632,-0.6014027586105227,-2.498394705067694,-3.308347119646222,-2.8117058838124795,-2.11287298290697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,21.45641807178197,4.2791145434194995,-0.49694128953192873,-1.0999231576994166,-5.545049689886943,1.4448640485759974,-2.7458294429587244,-4.301105362956604,-3.3909024606955334,-3.6146160502896185,-2.0333157278596197,-0.15617021515530483,-0.7555645422949797,0.0,0.12306105254234803,-0.21239921915582477,-0.533805816923759,-0.18828953215830513,0.15956368443734004,-1.7447495253289782,-2.553920302598679,-2.058020600951511,-1.375498786993512,-0.5183473579787856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,21.902897750091515,4.486748043344104,-0.2629860811957663,0.13210052424931007,-5.121998931909271,1.528128045034645,-2.9393366028033032,-4.729720203437875,-2.8711066325291488,-3.4660272167624444,-1.6712900029894542,-0.456494903248005,0.12306105254234803,0.0,-0.3342532362497803,-0.6546430320857429,-0.3117515363916531,0.03575671203461639,-1.8607509123513144,-2.6672354502220554,-2.172939490386603,-1.4901483830425448,-0.6310161019725458,-1.5060611910139565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,20.98872299277185,3.8406525051419145,-2.1226806625284045,-2.057093692702189,-5.060969724677999,-1.2173835004807145,-3.4403990029890092,-4.8894448550342196,-3.0047655599783667,-3.583249115972961,-1.6482029815775845,-0.5966411345352957,-0.3342532362497803,0.0,-0.3214428009724333,0.02676793332298333,0.37335052195119733,-1.5342650807860823,-2.343746050080581,-1.8477299608679403,-1.1693415895217516,-0.3202290568148962,-1.1932388656431598,-0.41724101569840233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,18.812832244119548,3.2278050790871475,-2.307158780135804,-1.3148344448124778,-5.06456998878147,-0.5833972896612085,-3.793257494832127,-5.176884217475509,-3.3711674692570393,-2.813416811796742,-2.0728236272158114,-0.8487890439136647,-0.3214428009724333,0.0,0.3529388097600181,0.6982336735879809,-1.2179074861744748,-2.0293515411500826,-1.5322442941298848,-0.858873074980429,-0.020385257924919742,-0.8904369935782057,-0.11393719822711468,-0.4055986436231809,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,20.49835736342961,3.694056560940073,-2.7869406393165193,-0.036087471378809965,-4.3953736814389845,0.04235898491185708,-4.364746093854831,-5.260563536589794,-3.796642486393865,-2.78272809929509,-0.9387876019822561,-0.9545918360172632,0.3529388097600181,0.0,0.34240783031067623,-1.540964082422586,-2.3402915586196107,-1.8504880485161497,-1.1800688401233193,-0.3405788264451326,-1.2030496532863042,-0.4366734609276399,-0.7117406571972715,-1.0275901886714944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,18.99968488692401,4.098443024615712,-2.072163171625272,-0.306967214059096,-4.363862946401056,0.7464239220413766,-4.2990108851365125,-4.3548500107733314,-3.4784183595631584,-1.8865284488619287,0.00468703937922843,0.15956368443734004,0.34240783031067623,0.0,-1.8858783624716333,-2.6880248635002832,-2.196375428925108,-1.5165256673143257,-0.6606222468108331,-1.531517643843456,-0.760975053565474,-1.0248364428328198,-1.3463753844651798,-0.8799177881104416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
