Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-36.00609618185585,-21.092463735031448,-5.24006684072352,-6.054049212828277,15.57907519747377,12.355476407597012,12.960511529192024,6.486788542526192,-1.5586225239794245,-1.6781322105853216,-3.767411435492014,-3.3651447942382466,-5.305152439152235,0.0,-1.4866741124018894,1.3244555073023918,2.08968921546721,1.779400147359965,4.04974428905971,3.717604502350062,1.6700336262166768,4.0806139500411325,5.088723802748628,4.222892703629681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-17,-40.52484967753388,-22.293674406143886,-7.0788274091123915,-4.8850765398185985,11.954547706638976,9.892027681146342,11.657388165647513,5.222686968530052,-2.248918470459514,-4.364597392396768,-8.124947098665135,-4.046560574050231,-1.4866741124018894,0.0,2.8241228158172733,3.6000957652144594,3.300197458728645,5.586272219088659,5.251463796336622,3.1935810654228662,5.635307387656188,6.638627694245299,5.751462375546901,6.132909004686648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-18,-38.37873146330635,-11.924932047130113,0.5322249418729346,-3.2335446855254055,15.144472719704051,13.873198658441744,13.813633956068808,5.799029243014875,2.966937224730617,-1.561104107184578,-3.851313318169808,-0.6156300048873875,2.8241228158172733,0.0,0.7437853422984759,0.42937678459535,2.65010759022746,2.3255452568612087,0.3193512112374095,2.6646993787762563,3.6610134270115027,2.827432192909063,3.1976293844306394,1.6230719131519322,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-37.285887485239066,-5.405314371013018,3.2755308689351263,-3.916500878773526,15.208109174151573,12.225947525073185,16.58890387802223,6.361479817482582,3.525477160913355,-0.6794883655468968,-4.249794936015659,-3.539144825146367,0.7437853422984759,0.0,-0.3166645180011896,1.876505932049646,1.556151946672576,-0.42704712588860005,1.8821017344578768,2.8718327311348224,2.0561267384471473,2.4216371974865254,0.8659570264589005,-0.13290703047764318,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-38.048834506399096,-4.2356474396227135,0.9610224916329635,-4.242101975619651,16.931158169565673,11.175472928508576,12.871250826077958,3.9172033753566744,3.167804746184051,-1.1076647187937674,-4.018944966417116,-3.734478862942513,-0.3166645180011896,0.0,2.1831613264147673,1.8641926037132714,-0.1091458136354085,2.192482877915801,3.1752365001172134,2.360048678540883,2.7239303559907397,1.1756324078258356,0.17498167969951206,-0.5557492435901681,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-36.26525625216647,-1.9141796924635521,3.7031356224512155,4.616277161647032,20.852603208040165,13.967130204085146,15.713818452990232,4.953679681622004,2.404306579629675,0.20039627406127902,0.5146269756129707,4.04974428905971,2.1831613264147673,0.0,-0.31029721700874713,-2.2386583206265094,-0.01623344928087289,0.9580042875903632,0.18528100076905107,0.5395957512015572,-0.9710308796051824,-1.9032800596767423,-2.5318828576342742,-3.0968728007714112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-38.16796695514101,-2.713389449350313,5.97789987068213,7.718040439641044,21.774856560417756,14.652839676138337,17.720332234457025,5.011450461500118,0.8365056122209227,-3.1936229619057945,1.0397531744154094,5.251463796336622,-0.31029721700874713,0.0,-1.9352628790743764,0.29902256792247606,1.2747193092392415,0.49574173863896825,0.8515105745950553,-0.6648706083597384,-1.6071160501614812,-2.250453165738505,-2.812449508663292,-1.675625011806484,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-40.07991575104594,-4.8312816872910425,5.4668864157277675,4.72989499492331,18.71092886029754,10.924781326145759,17.456581760590794,4.528896170915173,-1.255733775829893,-3.5909963154899547,-0.30152725257332325,0.3193512112374095,-1.9352628790743764,0.0,2.3003325280928006,3.2812388621151594,2.4657731468836173,2.8292988008721323,1.2826709325472458,0.2808468201185286,-0.4534090622443605,-0.9940520900434242,0.1551315109021516,-0.49590040124155266,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-37.915994362835505,-1.9890659547845857,5.7389481601777135,6.330847384476954,21.341694964063425,13.396826171423074,20.80815791312634,5.2957029426336195,1.2642752753898172,-2.48266374670869,-1.7733851886883385,1.8821017344578768,2.3003325280928006,0.0,0.9628423329094855,0.19889801552430408,0.549115431272972,-0.9440195044964423,-1.8658020423261692,-2.487754114334657,-3.045940127223594,-1.9250208816925607,-2.476246324407727,-3.0215830272855477,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-35.800378612835544,-2.2955353911369194,3.5625969321960085,11.061532913029415,26.244659500703733,14.713859642830057,13.187328909729558,4.909531175460298,2.1961824994101704,-0.8965185985675528,-0.6516694747077727,3.1752365001172134,0.9628423329094855,0.0,-0.7512744482060141,-0.40253282925209466,-1.8907397419290661,-2.7897237098669296,-3.3717971181004227,-3.9439148770975088,-2.8216976415577317,-3.3374643754596196,-3.894196147781267,-2.06687127886775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
