Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,47.69596250078337,17.450717168653366,15.10274575892416,9.748089332448954,5.700392978933301,6.842386504377815,1.1760929500762618,-0.1284455820859396,0.624405990216891,1.0180403784804533,2.310801292529211,-0.2040946735228507,-0.79553678898783,0.0,0.15281569605430145,1.0753037312623392,1.6979040745941252,1.6407149738771611,2.0367323756313223,0.5827919194662141,0.36486680090246804,1.171375409914007,-0.008021142723154018,1.298238768163223,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,44.83670929180352,17.605906124009973,13.391643342554648,9.957568236988957,6.343143760634629,5.704204800655244,1.926209897842611,-0.07867889056868016,1.4149205915790715,1.3779621912520303,2.399802542418497,-0.5957818435695676,0.15281569605430145,0.0,0.9127466678167128,1.527945710185333,1.4701529211054687,1.8615512862996295,0.42343512486288626,0.20777676139256673,1.0037417493919278,-0.16184498412208437,1.1319524324651797,1.7675324338819314,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,44.273868371252306,17.20110313933265,15.05136823380977,11.564500032087642,7.417123090553474,4.699990666076314,3.4950459584394036,-0.4093844016314012,3.485489608183433,4.54849734766866,2.422821144417515,0.4832553807295925,0.9127466678167128,0.0,0.606639914553839,0.5419379412914043,0.9284239525422613,-0.49845617876884496,-0.7130604402646779,0.0660850917386564,-1.0845501926146142,0.20967140319532784,0.8400662485702054,6.087471334141048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-19,42.345127573627295,18.649917225046323,15.273824238487483,11.579810501721354,5.963533172952609,6.608369684396482,4.034806951140876,-0.14043803095067098,4.079530057659352,5.426177310624399,1.8367978073141158,1.0454731933500518,0.606639914553839,0.0,-0.06887570782921049,0.31229673114018053,-1.0994847875780185,-1.3122345833874007,-0.5483304388448536,-1.6829324675804378,-0.39545376661417325,0.22812573547285575,5.421645102336698,4.809897743224442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-22,43.583660338771196,24.15118545401913,15.427296508353997,13.148077632669217,6.273469699133894,7.442382485049755,5.355118795829499,0.23032786400116834,2.9314262390967274,4.788138739420808,1.4163349446813296,0.8101395414045316,-0.06887570782921049,0.0,0.3785294214345718,-1.0229506725910495,-1.234101034588966,-0.47498028103299494,-1.601739315980085,-0.32444059742404624,0.2946051579202983,5.4500433661224434,4.841331974024756,3.9182756240250463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-23,46.727237648766575,22.415359953851592,16.238758271481757,12.149035566008147,7.83646979825706,7.779972284480037,7.160837976232017,0.5622829748247984,3.1681863514761863,4.52511131418748,1.8451522083604894,2.0367323756313223,0.3785294214345718,0.0,-1.3929665203206831,-1.603092584488731,-0.8529250053152353,-1.9704454648525112,-0.6965920321193043,-0.0813966385730287,5.043741487246409,4.44656860778031,3.5439825095796476,4.207950356653249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-24,44.660006459080236,22.32511549329071,16.863590108949595,12.548623620417057,6.736397917296745,4.9921194045068,3.9950371714297326,-1.9206198596158153,1.843244133834201,2.8801196519082604,-0.17441501067962495,0.42343512486288626,-1.3929665203206831,0.0,-0.21236370728721415,0.5655803318190977,-0.5780044329188202,0.6990863501795452,1.3240142375376258,6.523594010085766,5.887828319027625,4.915589159681326,5.612332417337154,6.717502693979505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-25,44.620990486329326,22.723570501740024,18.810063793487338,8.559865903968852,5.413527376888659,5.232586041473166,4.880508470979537,-2.066589230363311,3.8387457793810142,1.705844753905641,-0.239052954814031,-0.7130604402646779,-0.21236370728721415,0.0,0.7816475781019276,-0.3651280063657,0.9115785142459019,1.5375617598126063,6.7449251342766985,6.103707610708243,5.121508388921707,5.822773840618943,6.928617879275264,6.157946747170961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-26,44.29466887534426,23.323300737725397,18.033299926405533,10.456197821602423,5.755436790026298,6.5741596930656865,7.819649968843674,-0.6835424965748107,4.942806975179268,1.3019171875154045,0.5062191198705714,-0.5483304388448536,0.7816475781019276,0.0,-1.119506658024803,0.14088517588252958,0.7544320152102852,5.8618925304272445,5.24900686606777,4.315946052067002,4.991364317148161,6.079486035031875,5.350531891060979,5.908074680252632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-29,44.39882599340232,21.29284833724221,14.79824585412954,9.12619553239656,5.929141980308774,3.9041239126454865,6.82400639035891,-0.5820681717611382,3.0577810963678296,-0.25025782376944905,-0.8255604644328332,-1.601739315980085,-1.119506658024803,0.0,1.2709753646169146,1.896273403597629,7.096235876302034,6.448253205130552,5.4529423478325665,6.159146078906606,7.261745632061621,6.479272825168028,7.062393326411238,6.545626003832187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
