Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-6.891869176212229,-28.338243848972333,-19.90605897319085,-23.6620773092067,-16.301855613783957,-28.040711570016065,-21.71314809386983,-7.6811102056100555,-7.752022096209156,-5.56324841453012,-4.522471117524266,-6.7939348775828625,-2.9438693003642458,0.0,-2.1973371292734183,-3.0029615686364073,-2.6914032251877966,-6.808953424833948,-6.779653688872216,-6.040659636060076,-4.8464163629005546,-4.048005460643947,-5.647795559321237,-6.1422797246859355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-9.794909661965477,-31.66520761904296,-20.949668282688947,-25.097742389451895,-20.454840227825258,-28.7825225601426,-24.263093874460843,-11.076831404122617,-9.774837439557697,-7.267825184199387,-8.767871535374482,-6.999649289169081,-2.1973371292734183,0.0,-0.819467325212381,-0.49420395571114895,-4.646120986256379,-4.611557534492687,-3.864427292491392,-2.653637849660729,-1.818377752137042,-3.45387041693591,-3.9793374854126813,-1.812017690857643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-12.76788975192993,-31.618678581680975,-21.09640143206758,-24.9588511491302,-21.97161804192698,-29.296163800487633,-25.217105660247,-11.316541121780002,-8.896363849049276,-7.856113497590951,-8.87384413397426,-6.731825470697269,-0.819467325212381,0.0,0.332115330817612,-3.854234837870302,-3.817506975064221,-3.063444197901977,-1.8401521585130012,-0.986672091198336,-2.644089975959316,-3.1839621417849195,-0.9947597427517966,-0.4522856527702739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-13.626178582717925,-31.650290329012943,-18.877145740296783,-25.185673907127246,-21.852935013697838,-28.970302930680436,-24.337648587203482,-11.425663981368523,-7.806931267849913,-8.239318288832388,-8.380805484865064,-6.097679132730827,0.332115330817612,0.0,-4.156993843009858,-4.121269253186519,-3.3727866890099314,-2.159050253608944,-1.3160399059960235,-2.958514671457942,-3.490610952734209,-1.318312231901929,-0.7797720668408288,0.11173204305495177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-18.65846428704087,-36.18692052983501,-23.145732212172845,-29.04067656565158,-27.200708929804712,-32.39929245791052,-28.254793827398107,-14.586247825135256,-11.490262572382704,-12.2230587155316,-13.33872305415321,-9.588338616997532,-4.156993843009858,0.0,0.04631511898182741,0.8183297767840156,2.076735994929068,3.000011951119197,1.2712388135101127,0.6734805955372927,2.9231765015992655,3.477606463187451,4.309148101059142,7.437984935395804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-23,-19.243062041245004,-35.9481783347584,-23.579536042450613,-29.33397088709934,-26.43198430551169,-32.731916116030504,-28.336006088589677,-15.721761968645486,-12.323347147047269,-11.358366083212697,-13.337273860627956,-6.779653688872216,0.04631511898182741,0.0,0.7700096797773492,2.0250777401621405,2.9453779396073783,1.2214671429934103,0.6257873805240635,2.8695428299835974,3.4225440958327398,4.25287207275608,7.375319882136075,6.837874586538791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-24,-19.487659937549157,-35.67279804496234,-22.59681447244778,-27.82582378585061,-25.798171822044782,-32.00648283540997,-26.706083423253737,-15.197138409220184,-11.11380087849129,-12.555931929456802,-10.752959137783968,-3.864427292491392,0.7700096797773492,0.0,1.2457095196370824,2.150426599047765,0.4439484900036441,-0.139128546940522,2.088347932264497,2.6379217937465667,3.478489252204543,6.609298517765467,6.063215262777386,4.672602255441307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-25,-19.41083769286024,-34.580144331419916,-22.79005498653204,-25.156199582019635,-24.312286764055628,-29.948110303179405,-25.39703076383745,-15.002236462800347,-9.74811965061555,-10.739063085764268,-8.580618565965965,-1.8401521585130012,1.2457095196370824,0.0,0.8784935123306199,-0.79760977780587,-1.359701019926994,0.8384625420702003,1.3817442382564944,2.237396115778414,5.376866422046402,4.8178141877360146,3.450966115395938,3.3498574284871614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-26,-20.293877188081453,-36.10641885717223,-21.824697108678805,-20.99494013454695,-23.203182594823534,-29.058431096319993,-26.163567098525697,-13.707010744457397,-9.693007426230162,-9.814844451119912,-7.489557105838413,-1.3160399059960235,0.8784935123306199,0.0,-1.6364359510265514,-2.177849835827386,-0.024523102801271346,0.5083275640620861,1.3646189931974826,4.47455563239353,3.9129594940579033,2.577773186713495,2.5088665217867074,2.3218178578500375,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-22.502522670775537,-33.12739803521146,-22.146910228449187,-21.254343715784955,-25.290165216955305,-30.603320895336083,-27.513204864008078,-13.911873075266833,-11.127121954288826,-12.292231320110204,-8.487256269535434,1.2712388135101127,-1.6364359510265514,0.0,-0.5724710817245378,1.6325756181060176,2.176949824304966,3.018351856965411,6.135368235288875,5.587615664276481,4.212949131028356,4.083322343683165,3.9144816741390764,3.339004155292564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
