Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-22.883401216198106,-4.684978974395934,3.338861572903925,-6.668001582692442,-2.0331471233003793,-5.860437493576245,-2.2058584531816514,7.421185599689405,6.799169475480598,9.179133098268949,6.163995996704992,2.768690408691425,0.5740289091437843,0.0,0.09591086138477367,-1.9007930784462552,-2.0366068407183997,-0.20005956991926999,0.5984807216226415,1.0468987772285647,0.7642263100049318,-1.1779828841174194,-1.603847945016336,-1.7762175246590601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-22.037763054560216,-5.291862177386037,3.480504188895072,-6.233678699293545,-3.2893279988041115,-4.175030602058905,-2.9348139988533957,8.905739985911474,9.162656610683804,7.208977666715012,4.750120521781616,3.3055629013859096,0.09591086138477367,0.0,-1.9760490610277082,-2.1108839365411347,-0.29396153320090834,0.49617098885684774,0.9400386983179196,0.6602106923588609,-1.263195346888408,-1.684032705737635,-1.8535790584959728,-1.6840041024102534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-24.48843390312424,-5.848757995241906,1.999229179206461,-10.347976026234644,-5.987925039448049,-5.533058966023353,-4.831073547110102,6.243319856692091,7.050370830163817,4.777970041045294,1.5494211110942917,0.6553138307205741,-1.9760490610277082,0.0,-0.1289254599157711,1.7440453657016926,2.5558827448830774,3.0082989072543884,2.7235923875514163,0.7824339272411871,0.3384469879282115,0.14275353873134644,0.317028638000164,1.8960243324392643,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-22.696870065158294,-5.8251511956893545,3.535758206565424,-10.386305004047703,-6.348130308951509,-7.481308731236326,-3.6241544564739394,5.8992996327867395,7.652154809454687,4.926392933517504,0.6037240442405154,-1.6128619074430834,-0.1289254599157711,0.0,1.868226838155342,2.677840262375292,3.128787365554282,2.8450377753035276,0.9114081527350839,0.4679070374326135,0.27139523537295707,0.4451955669722105,2.01923411199624,0.736692021219293,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-20.685581883368968,2.8038616363281363,1.0486699672575739,-8.830049038717204,-2.8161012350321766,-5.023240149718777,-3.2263630633703295,10.281820804787104,10.511852422500407,6.5348909693027695,3.5397865042181342,0.3852178528419061,1.868226838155342,0.0,0.7845648939429666,1.22478498844122,0.9473294074034282,-0.9575185279774651,-1.3770437744085156,-1.5484611036531293,-1.3800750661067798,0.15413184708437838,-1.0565568668410825,-0.7184176297883962,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-17.267274944980155,1.0991970572460517,4.734664064798997,-8.039518555834603,-2.4166367998382086,-4.37140382478705,1.5776104745629862,10.25287374952357,10.060351230033849,6.961604635538986,3.452529923604704,0.5984807216226415,0.7845648939429666,0.0,0.4362878215132643,0.16111692636245745,-1.734032167897451,-2.144104050025623,-2.3053118763642857,-2.1389739315799976,-0.6194865799391543,-1.801789629707887,-1.436036347687546,-1.6413413652078255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-18.684339427520513,0.6845292426443592,11.376175818552106,-4.8651395223270235,-3.055153483495717,-3.501406520012978,2.801206035228601,9.911248330975432,8.348527583652668,5.831324637785628,4.3354508783659105,0.9400386983179196,0.4362878215132643,0.0,-0.2743903316296364,-2.167509361843261,-2.5730653064087687,-2.728898697729657,-2.5634023218499196,-1.0493912219682167,-2.218047694256819,-1.8363424068832943,-2.0479462193925206,-1.3093334805619667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-17.96428976172201,1.553825357333558,11.206519245093205,-2.351276754150714,-3.0188901434070825,-3.366818144338648,2.016404991300446,11.969240070365311,7.821502345263433,4.42333898070392,3.455761833535004,2.7235923875514163,-0.2743903316296364,0.0,-1.8939253494216017,-2.302224639670883,-2.46140445044508,-2.2954192754269602,-0.7783365350613479,-1.955297235897373,-1.58373521300343,-1.7913186722391474,-1.0524264866212798,-1.1056748959049418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-19.480604295873466,-2.0570597497851146,7.856575063533402,-3.6228919980392043,-5.898570798895127,-5.873199620648982,-0.35542705692007814,10.798129814829569,6.035763243197483,1.5629543449373626,-0.7379880949845976,0.9114081527350839,-1.8939253494216017,0.0,-0.4240591430525825,-0.6050260521027349,-0.4369379362235508,1.0897750298655746,-0.13533746878331376,0.16372742735620527,-0.01466518456288135,0.7205590544588496,0.600096044991842,-0.8581445281406488,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-20.175819243603105,-3.140402040429745,3.909735460442718,-2.9222601914275064,-7.639178459575685,-6.710999940784134,-1.186935651452341,9.303888836523594,5.040769850035463,2.0945989425066722,-1.0174302161946485,-1.3770437744085156,-0.4240591430525825,0.0,-0.1876476273943104,-0.017487317571434957,1.52588847553125,0.2781912974746419,0.563566491369774,0.3901366194930347,1.1314921900507269,0.994567839100565,-0.4740584633865783,1.9802931836127105,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,-20.396059854343083,-2.8919920118072735,0.48752310128696763,-2.28103367217744,-10.233020106831868,-6.902083031869878,-1.7214644165281854,6.5557802855572165,4.3121385344369685,0.9706176976556167,-1.7762175246590601,-2.3053118763642857,-0.1876476273943104,0.0,0.17245523270445154,1.7356800069043903,0.4678062725563401,0.7492516452182576,0.5766888098778535,1.3267301689983122,1.1812550142380251,-0.3037800671071267,2.184787105922995,2.432688447956734,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,-19.561400685909163,-2.7635269557351823,-0.5757843761881176,-2.5767351056312915,-10.319202749044756,-6.838302901019583,0.8716649225630864,6.080734487328099,2.9554572712343186,1.5595756783070547,-1.6840041024102534,-2.5634023218499196,0.17245523270445154,0.0,1.559883679078804,0.2984573142138416,0.5861785213886996,0.4111815331629698,1.1603877430958591,1.0213677987237544,-0.4627364836631651,2.018113170104026,2.2650440863607546,2.0714891488402323,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,-18.678237705846414,-0.1592323620534195,1.7451632521468863,-1.3172969390591138,-8.386873849072249,-4.377107017639234,4.418591145107079,7.331604690614364,3.5474665692251435,2.603729706094871,1.8960243324392643,-0.7783365350613479,1.559883679078804,0.0,-1.21024936320299,-0.8651209701678138,-1.0627015642641533,-0.31719008618834543,-0.39934082755229383,-1.8825786022432567,0.5418754951379592,0.7813893629565358,0.571248145720916,-0.030518090014835852,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,-18.60960793573704,-1.1064750547477011,-2.0593615017805273,-2.9519383016304506,-8.836949195745145,-5.546887016959582,2.7755639708228346,5.295141364581095,1.3578576780454976,-0.8490294425400982,0.736692021219293,-0.13533746878331376,-1.21024936320299,0.0,0.30571706620814476,0.12226848807817614,0.8873595859437775,0.7567532640807215,-0.7601221990953233,1.764397104177204,2.015309930575291,1.8141041741213586,1.2063643278059972,-0.3716888880475795,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,-17.45731914148019,-0.4503491377982414,-2.787901747528501,-1.2327915061455492,-7.051904924406045,-4.675070443223162,2.244611024454632,6.51057806918173,2.5424700785178893,-0.37304012718958734,-0.7184176297883962,0.563566491369774,0.30571706620814476,0.0,-0.19622169494498642,0.6006439233849414,0.4769647023499699,-1.1043256423410552,1.5153296415681314,1.7753001369107408,1.5618821153770575,0.9262799832550845,-0.714097435458203,0.08639151114550492,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-06,-15.696938484740434,-3.456414661265665,-2.5188717040378332,1.3824098755859282,-7.982160476972845,-5.404078070796189,2.36857354780127,5.445658414851856,1.5248118386602503,-1.1201088117194136,-1.6413413652078255,0.5766888098778535,-0.19622169494498642,0.0,0.7837527220592946,0.6547418019157765,-0.8996814209591983,1.682656387524666,1.939161779594966,1.731555664720967,1.107977010210328,-0.5073233890366401,0.27981962708869657,-0.7968538019486558,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,-13.75863095183048,-2.4911192417121555,1.2465466067457829,3.143728662485346,-7.982076806857485,-4.823428471015981,3.020354254851335,5.597119172948886,2.6901378961453313,-0.4495863698479843,-1.3093334805619667,1.1603877430958591,0.7837527220592946,0.0,-0.09931001186551569,-1.6605723826703311,0.9038399000383817,1.157597356276785,0.9401769464195934,0.3088695816585376,-1.3021601508708298,-0.5125917798897884,-1.5818693213275148,0.2288663352921787,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,-13.40585900654625,-3.4578108773483445,-3.68448718920164,1.8086873437695932,-6.433349174222542,-4.755683165253116,3.8671383896430167,4.8422188022316375,1.9609318999619267,1.3237847351332297,-1.1056748959049418,-0.39934082755229383,-0.09931001186551569,0.0,-1.622284926843545,1.0463511185462617,1.3105552641417817,1.0858503352328785,0.43054768348641215,-1.2450008832107073,-0.4244304232075464,-1.5371551792926397,0.3462483000112311,0.2111686681479057,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-09,-13.805741007326308,-6.011914056034431,-2.9072906875560687,-1.322353291400801,-7.775119534941879,-5.833927146134992,2.7177019621256737,3.414179296075041,-1.5573800623988525,-0.05402869653499742,-0.8581445281406488,-0.7601221990953233,-1.622284926843545,0.0,2.694676866370992,2.9635248538560215,2.7606616366279884,2.1247112832686,0.44763642245414026,1.2593673955669953,0.13595098034996367,2.0234118510273085,1.9150332384209543,-0.3303354176169817,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,-13.936032007202199,-0.510368879057209,1.4662168997845235,1.5738398968690266,-5.173983957494742,-3.545522983124121,7.071437122941342,6.514289189681281,1.0609702267296006,0.6856748876665373,1.9802931836127105,1.5153296415681314,2.694676866370992,0.0,0.25152916407596376,0.021841629431814003,-0.6208901880586253,-2.233121950180028,-1.4377005989587979,-2.5024620767292665,-0.6916611615737558,-0.8380301486903368,-3.026735736673231,-2.528038955720846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,-11.559405737102205,-0.2659877655006362,1.9258743067926574,-1.1118544280431895,-4.8305326916377025,-1.315048857889948,7.990023089136443,7.3618448025119285,0.7539454533961392,0.18725494156372946,2.432688447956734,1.939161779594966,0.25152916407596376,0.0,-0.23186956530235947,-0.874382852552003,-2.4784847713003266,-1.6856218913231902,-2.743547877163614,-0.942232910682512,-1.0919279356454141,-3.272501972542874,-2.7730304196894826,-2.808303361053755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-14,-14.879120732131906,3.44456067905908,-0.03939797259531019,-2.673978264179186,-3.5422476279196617,-2.354446223948486,9.095050215722221,9.327398101210806,0.4429601513192498,-0.44140083211099856,2.0714891488402323,0.9401769464195934,-0.23186956530235947,0.0,-0.632702107362665,-2.2191327640046383,-1.4363177194208046,-2.483915181590554,-0.7021232115818217,-0.8464942293358496,-3.0004194113259874,-2.5094246708935684,-2.5468985574747554,-0.893752777804093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
