Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-25.467853271021866,-21.15619784180916,-36.54701346892845,-39.979688577784614,-35.86266769666647,-26.20192304465357,-24.14127006454097,-12.423681232592054,-8.06085784791516,-7.047686985693525,-5.374773600549908,-1.664968982127879,1.2381038951641274,0.0,0.1011506226004415,-0.4893172108378201,-0.8637247033483308,-0.510638187466371,0.8476824275054171,1.3398373971593465,3.5796422873326534,-2.352921409919454,0.645064097361916,0.9251471208209969,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-25.779647962455062,-22.922331409123125,-35.86983906124797,-40.55921130694359,-36.27242178999832,-25.77488921266757,-24.55059543824041,-13.613771082211109,-8.562568977881115,-6.261864806120023,-6.189330849950344,-0.3932572923698292,0.1011506226004415,0.0,-0.5842130039650747,-0.9551952806113841,-0.60656201746962,0.7375221018404206,1.2246553297389744,3.4412866688714105,-2.431260005887658,0.5364802132675639,0.8147839583065976,-2.741824822488046,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-25.846277672619795,-24.66608871063552,-36.90860751645136,-40.004866895212956,-38.210231853669086,-26.0204631140788,-22.90258432149559,-13.685680818662425,-7.168470681238991,-8.553124283567362,-8.845737222419611,-0.4967883708022176,-0.5842130039650747,0.0,-0.3711888849043389,-0.015166871780447844,1.3403132781848275,1.8307726565799567,4.0644207343287775,-1.8451831455703545,1.140789910589834,1.4146426655544104,-2.168402163150768,-7.7213934927622,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-19.839673136605278,-26.399572047703366,-36.400129960664486,-40.6469208061667,-37.27396057799214,-27.767226885460865,-23.712931930355893,-12.389902146290355,-8.483292248165563,-8.029589685696862,-6.150631955536053,-0.656363656534779,-0.3711888849043389,0.0,0.3587747127256541,1.7141558328328375,2.2040753366780166,4.436446110258033,-1.4647436272118646,1.5166674374835478,1.7862309326822503,-1.7942207229223928,-7.34371703954259,-4.656898424478762,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-19.002788496238853,-32.01625013675541,-34.70751898666879,-38.22785329083029,-37.47230553020509,-27.051657634297598,-22.14508795760854,-11.232870176056625,-7.57346946596949,-7.229358209402837,-5.673722640724062,0.7481608823465733,0.3587747127256541,0.0,1.338995722423714,1.8234702723667022,4.029909603041587,-1.8075058691678458,1.14197977212795,1.4123310628943313,-2.127045801272513,-7.612381650038919,-4.949023499687156,-5.178542721579417,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-22.79732490240819,-29.355395114259714,-34.79209087590758,-33.77901682983185,-36.3741784380792,-25.583522337393525,-20.559507036913665,-10.824439970251188,-6.389927440766663,-4.6614537872383774,-0.8601490690998146,0.8476824275054171,1.338995722423714,0.0,0.4777879098008181,2.6496177254058826,-3.1139477363081713,-0.20068386574900737,0.07996677386725826,-3.405807276155692,-8.806226157857433,-6.155892048348526,-6.329328990749595,-6.169895722051486,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-19.537594290627545,-27.723339985624037,-39.04755235001605,-34.138230499799775,-36.76918087449938,-24.949431585876084,-18.688724271519547,-9.432229673020544,-5.137641758957297,-5.069230743142173,0.8444949060785172,1.2246553297389744,0.4777879098008181,0.0,2.1624210077125277,-3.5825736115940714,-0.6783031693078619,-0.3936166435298184,-3.864981200396201,-9.2424104545499,-6.593172951908434,-6.746902439447566,-6.595885341568091,-7.213908768513161,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-17.534473773309344,-26.726961789303736,-41.51017997595803,-30.96293766844745,-36.01574736544002,-25.06083868065297,-14.2499307986151,-4.5205258497735015,-4.784131430968412,-5.143864887716422,3.6137726569566264,4.0644207343287775,2.1624210077125277,0.0,-5.645126987976738,-2.7895962064142603,-2.4879284367400745,-5.884841509019205,-11.143982897855524,-8.507757481396645,-8.573811418020462,-8.460499551097879,-9.055041610183732,-8.56966220276974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-24.615951625799386,-32.977639742835784,-46.90712122442222,-36.128036317668794,-41.72513484360258,-32.603453670365475,-19.57291867061617,-7.073533958259596,-9.625210432986787,-7.708636287261427,-2.1487272132771547,-1.4647436272118646,-5.645126987976738,0.0,2.949086915239853,3.200876002427528,-0.35181076804931055,-5.860281504098445,-3.2240581020011185,-3.5259973306398296,-3.312373808458136,-3.9624015183654198,-3.6613884218001296,-1.3276446572500564,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-20.41623149231789,-32.23994507536966,-43.018701964924404,-33.57299334652302,-38.64898422930867,-28.55083944039845,-15.708395347325196,-1.8997669152188585,-6.160607189576764,-4.600319926765359,1.9232671614881411,1.14197977212795,2.949086915239853,0.0,0.27761248830319074,-3.1974128887379036,-8.581457360533188,-5.943418494419014,-6.1242615726942,-5.962076269458754,-6.584017887493694,-6.187987273819298,-3.945129458502347,-3.5796783823613536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
