Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-5.681839908768094,2.6470035344093645,-2.461076155435249,-9.908972332442975,-6.4846808089508805,2.6542366713115157,2.19410345342755,2.5655412698239513,2.3658229607067325,4.271198623133112,3.157051903418682,5.414814598610384,0.813989310477677,0.0,-0.7407236942286366,-0.6932669251081999,0.5901688841056969,-1.0158683774415873,-0.03984735103494286,1.218707751842195,2.161036746462946,3.4275746145466135,5.1961316866519045,6.346909388103104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-17,-6.601926791081304,0.488641552982628,-5.503169536889388,-10.172358744902112,-6.347473469245745,-0.659139804223873,1.9342036090255679,1.3125217494038637,1.7321152239494273,4.346984384799705,3.0664382667228898,2.3962735113527622,-0.7407236942286366,0.0,0.04616677661921409,1.3302673470550683,-0.2665720394817561,0.7091180623869746,1.9647319256800115,2.9056237309696495,4.178491797736297,5.938403659055494,7.078672078630097,6.873200985662315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-18,-6.484028556785791,0.2309509637529601,-6.08277795443176,-8.922654888327472,-6.369724397769106,1.1197286243722093,0.8411696417219598,3.2919639488770347,2.7803248789053647,3.3009251320979303,5.705358662986289,2.764246314450487,0.04616677661921409,0.0,1.2853823775294106,-0.3136775264869128,0.6630387741795525,1.9201304608673486,2.862081744076549,4.135865954151948,5.898131849087761,7.040232220667644,6.834500793361925,6.318474774892212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-19,-6.6091554342546175,3.140340788434383,-5.268615900322835,-7.839730808413723,-4.49483652551525,3.2961856014034066,2.241615845955316,3.363880750503238,5.622974696343154,4.502379435339244,6.481834920607858,2.5111920051939562,1.2853823775294106,0.0,-1.582153888056638,-0.6247596005828889,0.6117431099501305,1.5369623773242018,2.7740432208651655,4.515140064700649,5.651868944095929,5.449003480394278,4.942545369043936,4.424886045648078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-22,-8.599639464648263,0.16289200384952807,-6.593528256301999,-9.467488971423897,-6.397493874448198,2.2462357114371603,0.5697407367086758,2.116306590863422,3.6318146521197017,2.232792028570577,4.706453991284415,-0.18998839831659242,-1.582153888056638,0.0,0.9683437927044822,2.2136154572071254,3.147028141889393,4.412700159759472,6.156518960654839,7.284627361427461,7.080953214681912,6.569506872932008,6.014115578920379,6.499372303537004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-23,-6.535692731744835,-0.5306868522810966,-4.9308491334835445,-8.541960377557482,-6.7332825083149395,4.7911952145973995,-0.8481157695232096,2.345788669774011,4.324757945503722,3.1857214320047493,5.494695632059705,-0.03984735103494286,0.9683437927044822,0.0,1.2312144150132147,2.1531121995660008,3.3926195487157775,5.122521844070204,6.2478931428482705,6.046140617132288,5.541304706249188,5.012595847923517,5.5303192735650875,1.8389470164232113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-24,-4.295832191922408,0.9010580585000767,-2.1862305636142505,-6.934896339916777,-5.5546623349162285,6.811313324324443,0.49458334443779783,1.2138312574354266,6.538671950078897,5.207491455992575,4.474607314108922,1.9647319256800115,1.2312144150132147,0.0,0.9104559967731534,2.121147260776073,3.83924982895187,4.964886847729541,4.764885926625978,4.266698868601364,3.7697987437849894,4.330051333244451,0.6617433957841179,1.6106429751991915,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-4.05999124580217,8.123740297536738,-2.0548036693427605,-5.310533223143873,2.8477422871894937,7.330118920376915,0.5737534050615665,2.8508267952781683,6.431602282324956,8.904419701745162,5.798028454683662,2.862081744076549,0.9104559967731534,0.0,1.1883746083682483,2.8961017038178514,4.02079393102297,3.822277482741128,3.3294611292861336,2.856345620286816,3.4471594404586705,-0.20055431562828474,0.7435037171341312,1.32318276779597,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-1.7638417828268977,8.526350412135752,-0.5747994787467903,-4.040401017612387,6.293291638826236,8.079249168687346,1.6606399244846557,4.022093134327118,7.633595299255525,9.667898190122864,5.453647450774131,2.7740432208651655,1.1883746083682483,0.0,1.6759650287177226,2.7871589284910048,2.5926854569341784,2.1120296541929573,1.674062139811106,2.2969201763264753,-1.284925302325135,-0.3572990983156563,0.2496192386929721,-1.235502794584761,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,1.2413492525958532,11.314184280318639,1.3055889314622675,-3.4543959897890044,8.765603843582443,8.362968027591508,3.5296230779287487,4.9285335794718605,8.876123165112446,11.388468801043954,6.0567103519298895,6.156518960654839,1.6759650287177226,0.0,1.1182465198690614,0.9249012613504843,0.45008165632346,0.0512651286396264,0.7337592327763245,-2.8393904956059792,-1.9131352760190676,-1.2537088239857574,-2.7465032157211304,-2.873455591415502,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
