Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-14.995252613637156,-22.842944762669596,-16.913383489789435,-11.103937331697,-15.397397047692296,-11.557824428667393,-4.62665205245828,2.8192709067868105,-4.0357848643675815,-4.287266811873411,-4.695610801768786,-4.31675394362916,-0.7624995434333224,0.0,0.31305588174543564,-0.9212697858187874,-0.04512171733729864,-0.4963854797966476,0.21870355955672283,1.0223550185828816,-0.007949893185931867,0.1945044082418752,-0.1887916893140793,1.1854544472258557,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-15.021516374705842,-24.004726879965204,-15.233110804063731,-10.90955462155722,-15.044157538281336,-11.491813246299522,-5.727326115535806,-1.7673469296304951,-2.98137983329202,-4.222913460388717,-4.397079493958174,-4.668368520447609,0.31305588174543564,0.0,-1.2185324143483738,-0.35459359036999305,-0.8027670537185744,-0.09721764632632612,0.6966518267752837,-0.321076075946241,-0.12483917238306974,-0.501252577718504,0.8593973657952528,1.3433960994807683,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-14.167840697656928,-23.08024122744602,-15.387608188707759,-10.987746489140399,-16.425714795370727,-13.663922326026618,-4.649851309326586,-3.734054951905213,-4.939376410001249,-5.811186453046698,-4.279504399758913,-3.3929166584196504,-1.2185324143483738,0.0,0.8814478663538656,0.43701311440603097,1.1551567552995354,1.9594342650027126,0.9282184994253742,1.1420480623569644,0.7518263876372404,2.117784914785453,2.6091665983924766,0.5912431332003748,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-11.197491400173757,-20.187419188892434,-15.36029310278731,-10.556684931002502,-15.079508933923911,-11.258525845719747,-5.920159403771725,-3.181030256835818,-4.694464003056367,-5.383453377301837,-2.0415333231052104,-1.7479560012846307,0.8814478663538656,0.0,-0.4456625329335666,0.2612184311415744,1.0555101701744498,0.03719948657756711,0.2378357907910229,-0.14131519969294182,1.216475395494463,1.7010282447110003,-0.2900396913981097,1.525705955328478,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-12.032291555623782,-20.909988531897696,-15.149137616554034,-10.98351427765229,-15.55866388247325,-12.018454347004042,-7.604246284614178,-3.1576466318741856,-4.084011950418942,-6.048406090311185,-4.296012119337231,-1.2688811526216097,-0.4456625329335666,0.0,0.7053037793034779,1.4964891562563964,0.48210948469866505,0.6872939282054285,0.3064752875181398,1.6545069076960475,2.1375330951893705,0.15334040067313687,1.9531732801760375,2.7424951646194455,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-15.275451536583542,-21.279893517903165,-14.907062234848027,-12.33489095229682,-14.38804502121139,-9.816256064644062,-6.828833787754872,-4.136700043939758,-4.167291832007921,-4.584824790051417,-4.202707024410449,0.21870355955672283,0.7053037793034779,0.0,0.7843428818570486,-0.22118318794601638,-0.02615038475392195,-0.3987266012129316,0.9446352419015827,1.4229053833212022,-0.5426952885165831,1.2554138247138333,2.065380747378083,-0.6311505651922928,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,-11.587315634124396,-19.999867028553354,-14.840099640362236,-12.376083265210944,-14.2929502712852,-8.07253568526679,-5.526832686502424,-3.6520530539285234,-3.5774366458702405,-3.758355519810585,-4.049524883588152,0.6966518267752837,0.7843428818570486,0.0,-0.998724567653336,-0.8143279635530216,-1.178902896207899,0.16327980224505761,0.6377129422726504,-1.313172681799731,0.48835861710462813,1.3235301741542305,-1.3661811805997166,0.970420428766877,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-12.38444404695164,-20.14876070886546,-15.282518463554512,-13.81334329363365,-15.367173977658158,-8.269762573034619,-7.715297794718727,-6.577805846929462,-4.981818643581338,-3.424983028281331,-2.529355514634208,0.9282184994253742,-0.998724567653336,0.0,0.19808161963909066,-0.17681457424019897,1.1670400347901684,1.6464577992375404,-0.32355943924522557,1.4737866187073436,2.2766777127742266,-0.4221096165071172,1.9318412682571058,0.538485037908357,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-12.154166751387573,-20.812295382477295,-15.30047667645532,-14.81186178155518,-14.257281514725076,-7.479852657987195,-2.094904303795765,-3.0038256083474826,-5.2669616868597995,-1.8464709866576308,-1.5495219844942594,0.2378357907910229,0.19808161963909066,0.0,-0.36846972034400405,0.9591784406308248,1.4319661686740077,-0.5110682413873189,1.2658439205109961,2.0654866793342297,-0.5996485588324187,1.7231263334917317,0.3556123031560343,-0.4960574328278895,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-12.589125086118676,-21.011797004242176,-15.13674699537763,-14.490399259647482,-14.590135553888995,-7.849828090603896,-2.7245379191944554,-4.181590190622353,-5.787779316143427,-4.023845975709024,-0.9703633667636384,0.3064752875181398,-0.36846972034400405,0.0,1.3375652553545743,1.8155097871938701,-0.14821642758158293,1.6395904266650307,2.4328806745893337,-0.2542801425365635,2.0911860622004284,0.6961423384186638,-0.15946206916901673,-3.108655072563846,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
