Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,33.74839978456177,-8.175571874976809,-19.563063289278436,-11.946671747146533,-13.585186777311328,-19.74493307398772,-13.847510672454224,0.9801556944096266,-4.048937436664865,-0.8886843440631416,5.375779093061064,0.04012192478084131,1.4945546810950094,0.0,1.146358966846838,0.5478928106571337,1.7086090218800531,1.3449519767869242,1.4847907883563498,-0.4869964722609734,-2.9746298419261805,-2.6534637094820037,0.007477011225307528,0.036648917147720894,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,29.520642446813838,-9.80744682502301,-22.50047817258881,-12.142784824987089,-16.259428513715992,-17.347272573645157,-10.707004620735892,2.7017796687394977,-3.6566725942714386,2.309795714339195,4.348259987479288,2.1731910063537554,1.146358966846838,0.0,-0.5844114757952453,0.5476499041116103,0.18234698438951646,0.31685774405572054,-1.6139662260389043,-4.0514085541193445,-3.7502815154214453,-1.1360123152472503,-1.0949760098905241,1.3013342259987057,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,28.64475824758176,-8.962170325171634,-24.252107445466656,-10.009752828336694,-17.090528450569472,-13.678979471358991,-8.80607272288472,0.8708122776424059,-2.3277431455831215,4.213183895318777,5.479619293426558,1.106086492268219,-0.5844114757952453,0.0,1.1431526571602033,0.7798744596124354,0.9166925433044175,-1.028979182679698,-3.4843829097240477,-3.173917565939759,-0.5440678339481979,-0.5092676338175465,1.9053450918250237,0.5022526002728892,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,29.41823324505083,-5.138470580250926,-22.27913768624984,-9.218922755813821,-14.466432066710398,-11.104380786722247,-5.706874248159751,4.534379843598522,0.9098232081913711,7.555966925345461,8.083149568562504,2.0272163679428217,1.1431526571602033,0.0,-0.3666996956836958,-0.23447860407404353,-2.1492186385952587,-4.567075268549249,-4.2749068211586785,-1.6782606084134755,-1.6315485781808423,0.7449147950038851,-0.6355980288349621,-0.07726536918530869,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,27.145266945567197,0.4292194221559811,-21.774153006298064,-5.997256910630137,-14.197051414994979,-11.634559586069376,-6.054305353774355,1.6184984794581272,1.1262121876488944,6.067675891456793,7.774990404951354,2.8853084849252486,-0.3666996956836958,0.0,0.13243574929073101,-1.7741217373422236,-4.181166683156382,-3.885945341113427,-1.3031660401648297,-1.2606665933326398,1.1055646460272106,-0.2691367488255603,0.2790370961989739,1.2536661891235026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,28.34125961184692,-3.9198879439838343,-20.319214331513663,-4.25456378742375,-14.494903892330111,-9.77971368667358,-2.7561900188870396,3.536608133029052,0.6136395764979738,7.118905155827294,1.5419287727124855,1.4847907883563498,0.13243574929073101,0.0,-1.8998363248373014,-4.2985685350223415,-4.005939285735376,-1.4312659043949296,-1.3874689771363395,0.9704481850539334,-0.3993752102991296,0.14966948286849568,1.1261620245584671,-0.26299442398464645,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,25.8542216924259,-5.663322463321316,-23.51311063369955,-8.392114027159188,-17.524368949341174,-11.19451514936127,-4.778168501150429,0.5802866675122225,0.6156717177300433,2.6544762317081805,0.5211986588857953,-1.6139662260389043,-1.8998363248373014,0.0,-2.4454155962114386,-2.1239899022355204,0.48883714338170936,0.5122697258001039,2.9181662733710767,1.5197672112649947,2.0388933304808288,2.957568854274422,1.5722504270759994,5.236185978634944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-25,22.00929993618582,-13.355427710167532,-26.869989116319918,-17.571598008945752,-20.003315713310023,-13.711634756800501,-4.776415783532565,-2.567398510128677,0.49128790893564744,1.775903097362069,-2.4636817883823205,-3.4843829097240477,-2.4454155962114386,0.0,0.3589436988131336,3.0185490031647015,3.015113461843218,5.481014216266994,4.046831467366998,4.525834291551497,5.367085668604507,3.9886817139654336,7.730249231642237,2.4584674168559593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2018-01-26,17.90610346692667,-14.300437012516685,-28.398363875717983,-19.92916846627721,-19.5341450435482,-13.205187460382435,-4.548019667084432,-1.3904313364483682,2.922814578997782,3.5072122233037124,-2.3552352535149277,-4.2749068211586785,0.3589436988131336,0.0,2.6215692301418794,2.622012573054299,5.050271320144597,3.6381078035225265,4.117195819532998,4.959590748327578,3.5964486011689254,7.282817336991318,2.103531883238025,-0.6412819996443364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2018-01-29,22.546843976935016,-10.993049325070526,-25.875495215976187,-16.60746378582051,-16.115783805696132,-12.184672144221935,-5.376140991161318,4.991896174343221,4.65895586753515,6.38425962312842,1.543625676196113,-1.3031660401648297,2.6215692301418794,0.0,0.028460819997560005,2.409068539960251,1.0255425659952606,1.549408661688272,2.4777057483166542,1.0989818682360077,4.72704661908889,-0.2625456642590738,-2.989641923996574,-2.7478220939478115,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
