Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-30.61077180499824,-25.46092321597833,-25.648176670607015,-23.603470298279063,-13.41991004876584,-11.531261638677156,-12.835187454614431,-3.6908524204706135,-1.6225861263186907,-3.810529158845621,-3.661533460220801,-1.1040263908705457,-1.8472635687069248,0.0,0.49679491996142566,-1.701693019006534,-2.0607653601160933,-3.3981487442556766,-0.46523337284861843,3.729351053047338,6.106350806164723,6.600083923501215,5.242804748256905,6.108446986198401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-17,-30.99201315329862,-25.159525643204393,-26.456769724108284,-22.99552613243892,-12.881419658257734,-12.834083168597441,-13.082729006248416,-3.1708534028471167,-0.5481793377019617,-4.617705697033245,-1.9418718850944199,-0.07575491640192666,0.49679491996142566,0.0,-2.1665238111383838,-2.5226490438755,-3.845031181239346,-0.9547782547382684,3.1806087202994426,5.523606025708325,6.004463312906709,4.66980878923743,5.528611811602953,5.100087129558387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2018-01-18,-33.311255528244054,-27.816557937977652,-29.60278712495749,-19.11984190560616,-14.697892886064862,-16.29602237853345,-16.91184925272748,-7.295986980578819,-2.7821793269027353,-6.012512944725616,-3.9906862744796827,-1.1021363834232245,-2.1665238111383838,0.0,-0.3548868602539994,-1.690818260583521,1.273211749637689,5.505911852003521,7.906113794124957,8.42508576029487,7.043285585848551,7.897904623164626,7.460259486744975,8.164895574927053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
2018-01-19,-33.400765272479276,-28.16142323978374,-30.163297896229047,-19.435622101833836,-15.578593711358751,-18.06749100335088,-17.766950261157596,-7.425675361738326,-3.9435345280628566,-6.258819606588144,-3.9326484983256256,-2.4317366848066158,-0.3548868602539994,0.0,-1.3319546228498509,1.6303756719781213,5.85933804514531,8.257749971041628,8.780530275632124,7.3974445865039975,8.247425383999408,7.810320111288689,8.514136447379064,7.999498488828985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2018-01-22,-33.098385444369264,-27.952996461035298,-31.35025930601867,-20.994460242550623,-16.81955651836945,-21.709753101003493,-8.193186056610449,-10.321518738154372,-4.663924114337579,-7.76669094945051,-4.360523955318716,-5.208287832379738,-1.3319546228498509,0.0,2.980884499891799,7.231426721095701,9.643311803065892,10.1847430474891,8.785212905814596,9.624982781210333,9.186221658567112,9.89288956069646,9.347246198635467,9.634331128372848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-23,-31.573532975855272,-25.440219485371408,-28.362290804666074,-17.19964180031488,-13.70126436275057,-18.507132130215368,-4.1674247022181286,-6.115564217267324,-4.360019168802161,-4.210323724949694,-1.5939207745250137,-0.46523337284861843,2.980884499891799,0.0,4.120426961329117,6.455823235320069,6.946269694917679,5.609790176097226,6.455174827413126,6.02860765719187,6.715236419014241,6.247394490699721,6.640740347194563,6.135702228623994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2018-01-24,-26.938389553245273,-20.82562920537245,-24.447299090740287,-13.175660193273131,-9.504432552838793,-15.552558297825717,-0.01361508240028364,-2.3906530751323185,-1.5002902732430492,1.2786834281420605,3.1607691370754525,3.1806087202994426,4.120426961329117,0.0,2.2417969638901694,2.6661747022638624,1.408880979695927,2.264644560695955,1.8528119372575445,2.5151768249715194,2.1491220029551377,2.6850499589785453,2.1352697487533554,1.330788138776657,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,-25.471655651779137,-19.218332915640946,-22.1036256576011,-10.767333674902252,-8.189289318791001,-13.429216165487507,3.4288035144051356,1.8213162844135535,1.6763236017985435,3.7887399349314164,6.843869705549277,7.906113794124957,2.2417969638901694,0.0,0.38887993425549894,-0.8251946507665245,0.03531530037423258,-0.36831522194530286,0.2805572204108286,-0.031067751135064547,0.5801611489600065,0.0070949962680320056,-0.7688797788635799,-0.8119836378588055,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,-25.65054263451945,-19.332719815457644,-22.715534921079726,-11.406511629770849,-8.68569093380368,-12.466067668657262,3.3758639947919917,1.6824447940441178,2.2507147024043306,4.693228239178346,6.216732196432176,8.780530275632124,0.38887993425549894,0.0,-1.1926955590896764,-0.3413672011195181,-0.7389308665714236,-0.09986323085286508,-0.3986862369708821,0.2181613677924501,-0.35218696580283027,-1.1143482581703354,-1.1433699911771225,-1.377531123433192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,-27.40854894419553,-20.86990992639695,-20.3048697595978,-12.715552918380883,-10.08026183210616,-13.98325394121969,0.5224992128623427,-0.6670581256334218,0.7552266774103886,4.297619259329133,3.2289101087574075,8.785212905814596,-1.1926955590896764,0.0,0.8542691369427753,0.44973413562683295,1.1001733497070199,0.7701773075233755,1.3505437057938865,0.7890283815771104,0.006634196995787711,-0.0658123321792381,-0.2880065306799846,0.6483332775374206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
