Date,X-260,X-180,X-150,X-120,X-100,X-80,X-60,X-40,X-20,X-15,X-10,X-5,X-1,X0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Class (0.3%),Class (0.5%),Class (1%),Class (1.5%),Class (1.8%),Class (2%),Class (2.2%),Class (2.5%),Class (2.8%),Class (3%),Class (3.5%),Class (4%),Class (4.5%),Class (5%),Class (5.5%),Class (6%),Class (6.5%),Class (7%),Class (7.5%),Class (8%),Class (8.5%),Class (9%),Class (9.5%),Class (10%)
2018-01-16,-5.209870716553034,-14.754186129817223,-16.940657412378997,-17.58807317200217,-6.432974061015564,-5.993970878293514,-7.58026780531313,1.2841449822281188,3.162062626799294,-1.979128554772649,-3.0083603063669333,-4.641763687113477,0.00846991362346139,0.0,-0.27582669078727984,-0.35921043933003916,0.2590113671137064,1.6778612371641488,0.06711132546013943,0.5435013263309214,0.25180186150365946,0.26541356415466,1.9153141591817695,1.843817517053581,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,-5.957417976864409,-15.9616967756709,-17.217613273351866,-17.930591881176884,-5.575817548848239,-3.7347953448593376,-8.884775213878955,0.742797790627483,1.5543351363133082,-2.469946227724206,-5.225365180721701,-3.232364112316162,-0.27582669078727984,0.0,-0.08327524658959037,0.5320580285132779,1.9437417872204896,0.34424563272804565,0.8173299415311457,0.5277265973811232,0.5445352849151561,2.181634619531496,2.107570151103954,3.0216691404013707,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,-6.88868315569648,-15.721891467932902,-17.486168305464457,-15.623420695366448,-6.445314053161104,-5.012463362073975,-8.783270162021358,0.9803046754408768,2.7716371218930327,-2.5256750293288004,-5.317282098416776,-2.0895572775166134,-0.08327524658959037,0.0,0.6172100919181933,2.033036114337161,0.4297967305331667,0.9039951014888783,0.61373175315109,0.6315847705176378,2.2721264233107754,2.196952238431272,3.1133366589557445,4.05442774978435,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-5.77743418699356,-14.28674586903281,-17.408641848219162,-13.923035623784678,-5.941528955383291,-4.59701338453213,-8.101591580855752,1.237011383253316,-3.074348365408385,-1.9794301672867753,-4.178612620579777,-0.5712215170596272,0.6172100919181933,0.0,1.3961079763712907,-0.19172102924877754,0.27786889138782334,-0.009733688787096018,0.0006261625107040203,1.6282321842563057,1.5606023267005273,2.4671132969234066,3.398770499170368,3.584804029493747,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,-6.917027534179741,-10.556407869513167,-16.209837976221998,-10.658791563037905,-4.1136841335252665,-3.484000225875347,-6.1528079239440725,2.1296314826946627,-1.5948304173652517,-1.7562373809402372,-3.0997147027146594,1.6807321780027789,1.3961079763712907,0.0,-1.5565766849599543,-1.0963412547805358,-1.3785696437298374,-1.3846442184244698,0.21720745930888108,0.1660312531064851,1.0523386785830384,1.9647982733163236,2.175681076671951,4.102986250373295,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,-15.596062378842047,-11.493228492904032,-17.74948296577274,-11.167395374255616,-5.6964812960052615,-6.140913803093859,-8.516002391523067,0.7975536823098164,-1.9557511407843577,-3.0086359741784925,-4.681908070197641,0.06711132546013943,-1.5565766849599543,0.0,0.4655988055394167,0.1804899093006458,0.19301558111728245,1.8058621700593733,1.7367090177943578,2.635813376750929,3.5596409618467413,3.740127415536146,5.630692574792722,3.2966668502629464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2018-01-24,-15.759601240129337,-11.32443776126659,-18.16363999924638,-8.300932359271936,-4.832892399916906,-4.9540198637550095,-7.50178446326202,1.5339990955168687,-1.6673186610399702,-4.483598757295809,-2.4665669405948862,0.8173299415311457,0.4655988055394167,0.0,-0.2842252855302871,-0.27724477531819647,1.3321830030283974,1.2683942014952208,2.1636053060678764,3.0839633821599293,3.2734940413116047,5.174844060750676,2.842789723539254,2.1020394899134893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-25,-16.042983543513138,-13.330224968897614,-19.51361597636959,-8.37918232115544,-5.710149274258528,-6.163830191772254,-9.777854471609594,0.8673818802633786,-1.9377419701699874,-4.795295854994364,-1.5083114117145446,0.61373175315109,-0.2842252855302871,0.0,0.010369301088866578,1.6214692962240074,1.554417023295223,2.4517760404570685,3.3740163941482515,3.5579676968674456,5.4522291995300165,3.1195754577913384,2.375810039649028,1.7123551198948164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-26,-16.725338453862598,-14.080740359951557,-20.44880287072548,-8.951718475091093,-5.594441827868193,-6.3444390588358806,-7.640437966472241,0.2074627377674858,-2.022857720501219,-4.271027716116286,-0.5833072518864526,0.0006261625107040203,0.010369301088866578,0.0,1.5921517245555845,1.5260018567884046,2.412763621230954,3.3241244756642505,3.5061179091135855,5.378423474988582,3.073139343986322,2.3382013336523624,1.68293679700896,1.0223679532182963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-01-29,-15.480987341951035,-13.909576768509623,-18.346394971595434,-6.315682539073672,-4.587763466506029,-2.906796981118367,-6.0612290052752344,0.6672627000391014,-1.5438366833439447,-2.9046238808183267,1.917431033944668,0.21720745930888108,1.5921517245555845,0.0,-0.0483529580983324,0.8295710324063544,1.7336449685031043,1.9470709932263763,3.86490782065658,1.5550723599760254,0.8342793791934415,0.24063423737340983,-0.43523302786390516,-1.6105498610471356,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
